시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,동,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%),p_wide,p_narrow,p_barrier_yes,p_barrier_no,road_width_relative,sidewalk_ratio,parked_density,accident_label,structure_risk,risk_prob,risk_score,safety_score,safety_grade
광명남초등학교,37.476246648,126.852962238,0,5,1,3,8,6,8,0,2,광명동,0,0,0,0,0,0,81129,2485,2341,2891,7717,9.512011734398303,0.016696721,0.98342335,0.034863144,0.9642763,0.31515172,0.0,1.0,0,0.24281522956484117,0.3401832042538411,34.018320425384104,65.9816795746159,D
광명푸른숲어린이집,37.477792276,126.850856427,0,5,0,3,10,6,8,0,2,광명동,0,0,0,0,0,0,81129,2485,2341,2891,7717,9.512011734398303,0.21762115,0.78302455,0.11145446,0.8866217,0.4430276,0.0,1.0,0,0.3944210723763463,0.3032699146652088,30.32699146652088,69.67300853347912,D
엄지창의어린이집,37.475694904,126.849686489,0,4,0,2,8,5,2,0,2,광명동,0,0,0,0,0,0,81129,2485,2341,2891,7717,9.512011734398303,0.50422436,0.4878269,0.28703347,0.71086633,0.3719204,0.0,1.0,0,0.5003806256885124,0.13169279432968528,13.169279432968528,86.83072056703148,D
광명동초등학교,37.483389861,126.863980047,0,4,9,1,9,4,1,0,3,철산동,0,0,0,0,0,0,69508,2254,2787,3666,8707,12.52661564136502,0.004098803,0.9957117,0.0035434365,0.9963503,0.0,0.0,0.0,0,0.14865112317984472,0.09116920158869733,9.116920158869734,90.88307984113027,D
광일초등학교,37.471016793,126.847024959,0,4,16,2,13,6,10,0,11,광명동,0,0,0,0,0,0,81129,2485,2341,2891,7717,9.512011734398303,0.17479655,0.82871866,0.7057947,0.30050084,0.16734871,0.2343031319047649,0.0,0,0.0485567178040225,0.049258154167110775,4.925815416711077,95.07418458328893,D
큰별어린이집,37.436146295,126.877327277,0,3,9,1,8,0,7,0,1,소하동,0,0,0,0,0,0,54145,1089,1725,2722,5536,10.224397451288208,0.056829184,0.94292694,0.023396492,0.975893,0.0,0.0,1.0,0,0.18622867067567955,0.0263984007367376,2.63984007367376,97.36015992632623,D
가림초등학교,37.458199404,126.880148027,0,8,19,2,25,3,16,0,13,하안동,0,0,0,0,0,0,66369,1590,1990,2818,6398,9.640042791062092,,,,,,,,0,0.3623528026659465,0.023651771244396623,2.365177124439662,97.63482287556033,D
아란유치원,37.437261872,126.879689153,0,4,11,2,12,2,12,1,3,소하동,0,0,0,0,0,0,54145,1089,1725,2722,5536,10.224397451288208,0.024997175,0.97581214,0.027511477,0.97203577,0.0,0.0,0.0,0,0.15001286763021185,0.02300336494895021,2.3003364948950207,97.69966350510498,D
산들유치원,37.454875307,126.860017887,0,0,0,0,5,2,0,0,1,하안동,0,0,0,0,0,0,66369,1590,1990,2818,6398,9.640042791062092,0.010357887,0.9900341,0.010527015,0.9898493,0.0,0.0,0.0,0,0.14912211069000458,0.015224780809168519,1.5224780809168519,98.47752191908315,D
예솔유치원,37.456700229,126.87841054,0,8,17,2,22,3,16,0,12,하안동,0,0,0,0,0,0,66369,1590,1990,2818,6398,9.640042791062092,,,,,,,,0,0.3623528026659465,0.012653919990794966,1.2653919990794966,98.7346080009205,D
