시설물명,위도,경도,과속방지턱,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,보호구역 도로폭,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,동,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%)
빛가온초등학교,37.413689906,126.882025537,10,13,19,2,14,8,47,1,30,12,0,0,0,0,0,0,일직동,21148,851,979,1264,3094,14.630225080385854
빛가온유치원,37.416952326,126.888264888,1,4,12,0,9,0,35,0,10,14,0,0,0,0,0,0,일직동,21148,851,979,1264,3094,14.630225080385854
광명생명숲어린이집,37.432308566,126.877817192,2,0,0,0,8,2,11,0,6,20,0,0,0,0,0,0,소하동,54145,1089,1725,2722,5536,10.224397451288208
큰별어린이집,37.436146295,126.877327277,2,3,9,1,8,0,7,0,1,10,0,0,0,0,0,0,소하동,54145,1089,1725,2722,5536,10.224397451288208
충현초등학교,37.432490073,126.884626583,7,7,0,2,7,2,30,1,14,19,0,0,0,0,0,0,소하동,54145,1089,1725,2722,5536,10.224397451288208
트인아이유치원,37.434968089,126.886029485,7,3,0,1,5,2,11,1,10,11,0,0,0,0,0,0,소하동,54145,1089,1725,2722,5536,10.224397451288208
아란유치원,37.437261872,126.879689153,6,4,11,2,12,2,12,1,3,7,0,0,0,0,0,0,소하동,54145,1089,1725,2722,5536,10.224397451288208
서면초등학교,37.43866026,126.879510582,4,4,11,2,9,2,12,1,3,7,0,0,0,0,0,0,소하동,54145,1089,1725,2722,5536,10.224397451288208
광명푸른숲어린이집,37.477792276,126.850856427,9,5,0,3,10,6,8,0,2,5,0,0,0,0,0,0,광명동,81129,2485,2341,2891,7717,9.512011734398303
예림유치원,37.468769887,126.852729513,14,6,5,2,10,3,12,4,11,19,0,0,0,0,0,0,광명동,81129,2485,2341,2891,7717,9.512011734398303
예크어린이집,37.469854145,126.855135297,5,1,0,1,9,3,7,3,4,21,0,0,0,0,0,0,광명동,81129,2485,2341,2891,7717,9.512011734398303
엄지창의어린이집,37.475694904,126.849686489,9,4,0,2,8,5,2,0,2,6,0,0,0,0,0,0,광명동,81129,2485,2341,2891,7717,9.512011734398303
녹야유치원,37.47927063,126.857818996,8,3,3,1,3,2,0,0,8,6,0,0,0,0,0,0,광명동,81129,2485,2341,2891,7717,9.512011734398303
광명초등학교,37.480582748,126.858215136,8,3,3,1,3,2,0,0,8,7,0,0,0,0,0,0,광명동,81129,2485,2341,2891,7717,9.512011734398303
