,skewness_전,skewness_후,mean_후,std_후,변환방식,skewness_개선
도로안전표지,3.2319418716625785,3.231941871662577,3.047671047990626e-17,1.0099504938362078,Standard,0.0
도로적색표면,1.0001363428689913,1.0001363428689913,1.3061447348531253e-17,1.0099504938362076,Standard,0.0
무단횡단방지펜스,1.0688580845467064,1.0688580845467066,4.5715065719859385e-17,1.0099504938362076,Standard,-0.0
무인교통단속카메라,0.3849961954936632,-0.5975420643556232,-1.4802973661668753e-16,1.0099504938362078,Log+Standard,-0.213
보호구역표지판,1.3721348404731182,-0.9938242090030357,-5.083079926470079e-16,1.0099504938362076,Log+Standard,0.378
생활안전CCTV,0.5444839206477272,-0.9298204509552737,-4.832735518956563e-16,1.0099504938362078,Log+Standard,-0.385
신호등,1.6429460569695442,1.6429460569695449,2.1769078914218755e-17,1.0099504938362076,Standard,-0.0
옐로카펫,1.9999430005098162,1.1253936129623077,6.095342095981252e-17,1.0099504938362078,Log+Standard,0.875
횡단보도,1.001495290600471,1.0014952906004706,5.224578939412501e-17,1.0099504938362076,Standard,0.0
어린이 비율(%),-1.2292419171286961,-1.2292419171286966,7.401486830834377e-17,1.0099504938362076,Standard,-0.0
