지역,호선명,상/하행,월,등교_07_08,등교_08_09,하교_15_16,하교_16_17,하교_17_18,등교시간_합계,하교시간_합계,전일합계_평균,관측일수
경기 광주 광남동,일반국도 3호선,상행,1,3189.2,3517.5,3910.2,3997.1,3748.1,6706.7,11655.5,59100.0,22
경기 광주 광남동,일반국도 3호선,상행,2,3258.1,3474.0,3916.6,3907.5,3771.5,6732.1,11595.5,59827.3,23
경기 광주 광남동,일반국도 3호선,상행,3,3247.9,3411.0,3892.7,3954.5,3803.2,6658.8,11650.5,60871.3,22
경기 광주 광남동,일반국도 3호선,상행,4,3372.2,3631.8,3859.1,3865.8,3792.0,7004.0,11516.8,62798.5,24
경기 광주 광남동,일반국도 3호선,하행,1,4909.9,4907.9,5157.5,5205.5,5015.7,9817.8,15378.7,82961.1,53
경기 광주 광남동,일반국도 3호선,하행,2,4826.2,4799.7,5276.1,5155.5,4988.8,9625.9,15420.5,82621.3,52
경기 광주 광남동,일반국도 3호선,하행,3,5092.1,4933.8,4858.8,4905.0,5036.6,10025.8,14800.3,82922.0,53
경기 광주 광남동,일반국도 3호선,하행,4,5421.2,5333.1,5196.1,5242.5,5283.5,10754.3,15722.1,89959.0,54
경기 광주 남종면,일반국도 45호선,상행,1,325.3,473.8,562.6,680.5,790.5,799.1,2033.6,7432.6,31
경기 광주 남종면,일반국도 45호선,상행,2,330.9,465.2,657.7,782.4,867.9,796.1,2308.1,8236.3,29
경기 광주 남종면,일반국도 45호선,상행,3,391.1,507.7,693.5,827.0,867.4,898.8,2387.9,8622.8,31
경기 광주 남종면,일반국도 45호선,상행,4,425.1,539.2,754.4,901.3,973.1,964.3,2628.8,9562.1,30
경기 광주 남종면,일반국도 45호선,상행,5,424.9,532.0,731.8,878.6,939.0,956.9,2549.4,9407.8,31
경기 광주 남종면,일반국도 45호선,상행,6,403.7,513.9,701.6,863.7,940.6,917.6,2505.8,9334.2,30
경기 광주 남종면,일반국도 45호선,상행,7,411.4,508.0,638.6,760.3,839.5,919.4,2238.4,8568.5,31
경기 광주 남종면,일반국도 45호선,상행,8,396.0,499.2,657.0,763.5,855.0,895.3,2275.5,8781.1,31
경기 광주 남종면,일반국도 45호선,상행,9,384.8,494.0,691.0,796.9,837.5,878.8,2325.4,8744.3,30
경기 광주 남종면,일반국도 45호선,상행,10,416.3,535.4,709.9,835.2,896.2,951.6,2441.2,8917.8,31
경기 광주 남종면,일반국도 45호선,상행,11,411.6,548.4,723.8,892.3,940.6,960.0,2556.7,9129.5,30
경기 광주 남종면,일반국도 45호선,상행,12,359.4,494.2,652.7,765.2,813.1,853.5,2231.0,8179.3,31
경기 광주 남종면,일반국도 45호선,하행,1,665.7,792.0,694.2,781.5,846.8,1457.7,2322.5,10234.5,62
경기 광주 남종면,일반국도 45호선,하행,2,640.0,763.2,775.0,838.4,901.1,1403.2,2514.4,10817.7,58
경기 광주 남종면,일반국도 45호선,하행,3,788.2,864.4,820.6,893.7,918.1,1652.6,2632.4,11658.8,62
경기 광주 남종면,일반국도 45호선,하행,4,901.4,976.9,867.6,947.9,1009.7,1878.3,2825.3,13032.3,60
경기 광주 남종면,일반국도 45호선,하행,5,896.0,919.6,837.9,936.6,989.0,1815.6,2763.5,12737.9,62
