안전표지일련번호,도로종류,도로노선번호,도로노선명,도로노선방향,도로형태,차로수,도로폭,소재지도로명주소,소재지지번주소,위도,경도,안전표지구분,안전표지종별일련번호,주행제한속도,안전표지설명,지주형식,제2외국어표기여부,설치일자,관리기관명,관리기관전화번호,데이터기준일자
,시도,,성남대로,3,1,,,경기도 성남시 수정구 성남대로 1197,경기도 성남시 수정구 수진동 4587,37.43669,127.127883,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,성남대로,3,2,,,경기도 성남시 수정구 성남대로 1227,경기도 성남시 수정구 수진동4538,37.439368,127.127408,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,성남대로,3,1,,,경기도 성남시 수정구 성남대로 1259,경기도 성남시 수정구 태평동6812,37.442288,127.126662,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,성남대로,3,2,,,경기도 성남시 수정구 성남대로 1275-1,경기도 성남시 수정구 태평동6795,37.443795,127.126665,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,성남대로,3,2,,,경기도 성남시 수정구 성남대로 1321,경기도 성남시 수정구 태평동 7138-3,37.447842,127.126238,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,성남대로,3,2,,,경기도 성남시 수정구 성남대로 1342,경기도 성남시 수정구 복정동 620-2,37.451234,127.129394,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,성남대로,3,1,,,경기도 성남시 수정구 성남대로 1482,경기도 성남시 수정구 복정동 662-1,37.46233,127.126439,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,성남대로,3,2,,,경기도 성남시 수정구 성남대로 1414,경기도 성남시 수정구 복정동693,37.456117,127.126817,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,성남대로,3,2,,,,경기도 성남시 수정구 복정동683,37.459762,127.126442,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,성남대로,3,2,,,,경기도 성남시 수정구 복정동277,37.465464,127.126347,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,성남대로,3,2,,,경기도 성남시 수정구 성남대로 1275-1,경기도 성남시 수정구 태평동 6795,37.443735,127.126695,2,212,,직진금지 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,성남대로,3,2,,,경기도 성남시 수정구 성남대로 1275-1,경기도 성남시 수정구 태평동 6795,37.443735,127.126695,2,214,,좌회전금지 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,성남대로,3,2,,,경기도 성남시 수정구 성남대로 1275-1,경기도 성남시 수정구 태평동 6795,37.443735,127.126695,3,306,,우회전 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,제일로,3,2,,,경기도 성남시 수정구 제일로 99,경기도 성남시 수정구 수진동4510-3,37.435349,127.134086,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,제일로,3,1,,,경기도 성남시 수정구 제일로 111,경기도 성남시 수정구 수진동 4417,37.436644,127.133509,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,제일로,3,1,,,경기도 성남시 수정구 제일로 124,경기도 성남시 수정구 수진동1289,37.437627,127.133507,2,213,,우회전금지 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,제일로,3,1,,,경기도 성남시 수정구 제일로137번길 1,경기도 성남시 수정구 수진동3402,37.438714,127.132523,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,제일로,3,1,,,경기도 성남시 수정구 제일로181,경기도 성남시 수정구 태평동6410-1,37.44242,127.130916,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,제일로,3,1,,,경기도 성남시 수정구 제일로 190,경기도 성남시 수정구 태평동 3740-31,37.443202,127.130922,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,제일로,3,1,,,경기도 성남시 수정구 제일로 195,경기도 성남시 수정구 태평동5610,37.443682,127.130317,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,제일로,3,2,,,경기도 성남시 수정구 남문로 29,경기도 성남시 수정구 태평동4304,37.445038,127.130089,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,제일로,3,1,,,경기도 성남시 수정구 제일로 221-1,경기도 성남시 수정구 태평동 5585,37.445979,127.129272,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,제일로,3,1,,,경기도 성남시 수정구 남문로31번길 23,경기도 성남시 수정구 태평동4320,37.446954,127.129459,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,사송로,3,2,,,,경기도 성남시 수정구 둔전동 223-2,37.427587,127.116253,2,212,,직진금지 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,사송로,3,2,,,,경기도 성남시 수정구 사송동620-2,37.420191,127.117228,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,사송로,3,2,,,,경기도 성남시 수정구 사송동521-11,37.418497,127.117574,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,사송로,3,2,,,,경기도 성남시 수정구 사송동576-2,37.415516,127.115009,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,사송로,3,2,,,,경기도 성남시 수정구 사송동564-2,37.414371,127.113601,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,사송로,3,2,,,,경기도 성남시 수정구 사송동331,37.411138,127.114024,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,,경기도 성남시 수정구 태평동7285-9,37.4400490854,127.1217699613,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,,경기도 성남시 수정구 태평동7285,37.440327,127.121596,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,,경기도 성남시 수정구 수진동 4661-4,37.439386,127.125725,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 제일로 165,경기도 성남시 수정구 태평동6425,37.441036,127.131488,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로 93,경기도 성남시 수정구 태평동 6445,37.440903,127.130706,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로 141-1,경기도 성남시 수정구 태평동3499,37.442357,127.135852,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로 115-1,경기도 성남시 수정구 태평동 3678,37.441632,127.133243,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로 172,경기도 성남시 수정구 신흥동 5524,37.442861,127.139103,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로 201,경기도 성남시 수정구 태평동7336,37.444286,127.141411,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로 220,경기도 성남시 수정구 신흥동3422,37.444755,127.144205,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 공원로 391,경기도 성남시 수정구 신흥동3405,37.445899,127.145645,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로 259-1,경기도 성남시 수정구 신흥동74-1,37.448051,127.145079,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
