시설물명,위도,경도,카테고리
도로적색표면_성남-01-001_1,37.439089,127.167933,도로적색표면
도로적색표면_성남-01-001_2,37.437812,127.166879,도로적색표면
도로적색표면_성남-01-002_3,37.447141,127.169039,도로적색표면
도로적색표면_성남-01-002_4,37.447462,127.170661,도로적색표면
도로적색표면_성남-01-002_5,37.447587,127.171229,도로적색표면
도로적색표면_성남-01-002_6,37.446468,127.169145,도로적색표면
도로적색표면_성남-01-002_7,37.445922,127.168612,도로적색표면
도로적색표면_성남-01-002_8,37.446941,127.168733,도로적색표면
도로적색표면_성남-01-002_9,37.446808,127.168117,도로적색표면
도로적색표면_성남-01-003_10,37.450273,127.166021,도로적색표면
도로적색표면_성남-01-003_11,37.450552,127.166049,도로적색표면
도로적색표면_성남-01-003_12,37.451208,127.167226,도로적색표면
도로적색표면_성남-01-003_13,37.450971,127.166197,도로적색표면
도로적색표면_성남-01-003_14,37.451314,127.165587,도로적색표면
도로적색표면_성남-01-003_15,37.450812,127.165391,도로적색표면
도로적색표면_성남-01-003_16,37.450617,127.164501,도로적색표면
도로적색표면_성남-01-003_17,37.450371,127.163342,도로적색표면
도로적색표면_성남-01-003_18,37.450228,127.162615,도로적색표면
도로적색표면_성남-01-003_19,37.450165,127.162703,도로적색표면
도로적색표면_성남-01-003_20,37.450312,127.163511,도로적색표면
도로적색표면_성남-01-003_21,37.450435,127.164003,도로적색표면
도로적색표면_성남-01-003_22,37.449973,127.166251,도로적색표면
도로적색표면_성남-01-004_23,37.442788,127.180991,도로적색표면
도로적색표면_성남-01-004_24,37.443542,127.181289,도로적색표면
도로적색표면_성남-01-004_25,37.443841,127.180657,도로적색표면
도로적색표면_성남-01-004_26,37.443861,127.179727,도로적색표면
도로적색표면_성남-01-004_27,37.442061,127.179124,도로적색표면
도로적색표면_성남-01-004_28,37.441789,127.180463,도로적색표면
도로적색표면_성남-01-004_29,37.442624,127.180501,도로적색표면
도로적색표면_성남-01-004_30,37.441142,127.179128,도로적색표면
도로적색표면_성남-01-005_31,37.414012,127.157085,도로적색표면
도로적색표면_성남-01-005_32,37.413908,127.157723,도로적색표면
도로적색표면_성남-01-005_33,37.414355,127.158859,도로적색표면
도로적색표면_성남-01-005_34,37.413981,127.158715,도로적색표면
도로적색표면_성남-01-005_35,37.413628,127.158358,도로적색표면
도로적색표면_성남-01-005_36,37.413902,127.158503,도로적색표면
도로적색표면_성남-01-005_37,37.413467,127.158722,도로적색표면
도로적색표면_성남-01-005_38,37.413431,127.158637,도로적색표면
도로적색표면_성남-01-005_39,37.413775,127.157698,도로적색표면
도로적색표면_성남-01-006_40,37.336415,127.117008,도로적색표면
도로적색표면_성남-01-006_41,37.337682,127.116245,도로적색표면
도로적색표면_성남-01-006_42,37.340018,127.116077,도로적색표면
도로적색표면_성남-01-006_43,37.338495,127.116029,도로적색표면
도로적색표면_성남-01-006_44,37.338054,127.113597,도로적색표면
도로적색표면_성남-01-006_45,37.338054,127.115642,도로적색표면
도로적색표면_성남-01-006_46,37.338079,127.117122,도로적색표면
도로적색표면_성남-01-006_47,37.338074,127.118709,도로적색표면
도로적색표면_성남-01-006_48,37.338849,127.120338,도로적색표면
도로적색표면_성남-01-006_49,37.338647,127.120027,도로적색표면
도로적색표면_성남-01-006_50,37.338332,127.119327,도로적색표면
도로적색표면_성남-01-006_51,37.338169,127.118004,도로적색표면
도로적색표면_성남-01-006_52,37.338184,127.116565,도로적색표면
도로적색표면_성남-01-006_53,37.337649,127.119047,도로적색표면
도로적색표면_성남-01-006_54,37.337649,127.119007,도로적색표면
도로적색표면_성남-01-006_55,37.337154,127.119077,도로적색표면
도로적색표면_성남-01-007_56,37.372801,127.121357,도로적색표면
도로적색표면_성남-01-007_57,37.371254,127.122777,도로적색표면
도로적색표면_성남-01-008_58,37.409841,127.130813,도로적색표면
도로적색표면_성남-01-008_59,37.408919,127.129451,도로적색표면
도로적색표면_성남-01-008_60,37.409482,127.129451,도로적색표면
도로적색표면_성남-01-008_61,37.409783,127.130221,도로적색표면
도로적색표면_성남-01-008_62,37.409741,127.130823,도로적색표면
도로적색표면_성남-01-008_63,37.409761,127.131412,도로적색표면
도로적색표면_성남-01-009_64,37.350137,127.115948,도로적색표면
도로적색표면_성남-01-009_65,37.348758,127.116003,도로적색표면
도로적색표면_성남-01-009_66,37.346761,127.116029,도로적색표면
도로적색표면_성남-01-009_67,37.348312,127.116188,도로적색표면
