시설물명,위도,경도,카테고리
무단횡단방지펜스_성남-01-001_1,37.438974,127.167652,무단횡단방지펜스
무단횡단방지펜스_성남-01-001_2,37.438866,127.167363,무단횡단방지펜스
무단횡단방지펜스_성남-01-001_3,37.438718,127.166987,무단횡단방지펜스
무단횡단방지펜스_성남-01-001_4,37.438597,127.166671,무단횡단방지펜스
무단횡단방지펜스_성남-01-001_5,37.438482,127.166524,무단횡단방지펜스
무단횡단방지펜스_성남-01-001_6,37.438392,127.166581,무단횡단방지펜스
무단횡단방지펜스_성남-01-001_7,37.438085,127.166766,무단횡단방지펜스
무단횡단방지펜스_성남-01-001_8,37.437948,127.166847,무단횡단방지펜스
무단횡단방지펜스_성남-01-001_9,37.437589,127.167056,무단횡단방지펜스
무단횡단방지펜스_성남-01-001_10,37.437272,127.167247,무단횡단방지펜스
무단횡단방지펜스_성남-01-001_11,37.437181,127.167303,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_12,37.446947,127.168375,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_13,37.447071,127.168358,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_14,37.447109,127.168584,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_15,37.447207,127.169084,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_16,37.447086,127.169075,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_17,37.447402,127.170139,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_18,37.447531,127.170801,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_19,37.447455,127.170822,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_20,37.447569,127.171444,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_21,37.447727,127.172188,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_22,37.447326,127.170718,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_23,37.447071,127.169536,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_24,37.446982,127.169112,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_25,37.446743,127.169089,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_26,37.446306,127.169232,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_27,37.445971,127.169344,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_28,37.446911,127.168761,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_29,37.446879,127.168621,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_30,37.446865,127.168566,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_31,37.446834,127.168411,무단횡단방지펜스
무단횡단방지펜스_성남-01-002_32,37.446794,127.168211,무단횡단방지펜스
무단횡단방지펜스_성남-01-003_33,37.450728,127.166024,무단횡단방지펜스
무단횡단방지펜스_성남-01-003_34,37.450841,127.166069,무단횡단방지펜스
무단횡단방지펜스_성남-01-003_35,37.450865,127.166177,무단횡단방지펜스
