무인교통단속카메라관리번호,시도명,시군명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
J0772,경기도,성남시,시도,334,성남대로,3,경기도 성남시 분당구 서현동 280-2,37.38231701,127.1220931,서현사거리(정자역→성남시청),2,60,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0777,경기도,성남시,지방도,3,동막로,3,경기도 성남시 분당구 동원동 294,37.3520861,127.0857658,이우학교입구삼거리(미금역→서분당IC),2,60,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0779,경기도,성남시,지방도,3,서현로,3,경기도 성남시 분당구 서현동 96,37.3813736,127.1316613,서현중학교 앞(판교역→장안중학교),2,60,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0845,경기도,성남시,시도,23,양현로,3,경기도 성남시 분당구 이매동 129-11,37.4037552,127.1253424,꾸러기유치원 앞 어린이보호구역(분당구청→성남시청),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0846,경기도,성남시,시도,23,양현로,3,경기도 성남시 분당구 이매동 129-11,37.40339201,127.1253831,꾸러기유치원 앞 어린이보호구역(성남시청→분당구청),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0847,경기도,성남시,시도,23,동판교로,3,경기도 성남시 분당구 삼평동 742-2,37.39623801,127.1168791,보평초교사거리 어린이보호구역(보평고교→삼평중학교),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0570,경기도,성남시,시도,23,판교대장5길,3,경기도 성남시 분당구 대장동 635,37.3673608,127.0709122,반디유치원 입구 어린이보호구역(대장초교)(대장초교→판교풍경채5단지),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0572,경기도,성남시,시도,57,판교대장로,3,경기도 성남시 분당구 대장동 602-7,37.3704075,127.0687521,판교대장중학교 앞 사거리 어린이보호구역(대장초교)(서판교터널→고기동),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0573,경기도,성남시,시도,23,판교대장로,3,경기도 성남시 분당구 대장동 660-1,37.3635345,127.0667373,판교디오르나인오피스텔 앞 사거리(대장중학교→고기동),2,50,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0574,경기도,성남시,시도,23,판교대장5길,3,경기도 성남시 분당구 대장동 160,37.3696015,127.0705346,판교대장초교 앞 어린이보호구역(판교풍경채5단지→판교SK뷰테라스),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0576,경기도,성남시,시도,23,판교원로82번길,3,경기도 성남시 분당구 운중동 917-11,37.3871253,127.0748692,두림사거리 전 100m지점(서판교터널→운중도서관),2,50,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0577,경기도,성남시,시도,23,판교원로82번길,3,경기도 성남시 분당구 운중동 917-13,37.3846352,127.0743161,서판교성당 지나 100m지점(서판교터널→운중도서관),2,50,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H8902,경기도,성남시,시도,342,백현로144번길,3,경기도 성남시 분당구 정자동 93-12,37.37199301,127.1122291,백현초교 어린이보호구역(느티마을공무원3단지→수내1동),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9210,경기도,성남시,시도,23번,느티로65번길,3,경기도 성남시 분당구 정자동 93-5,37.37125301,127.1118731,백현초교 후문 어린이보호구역(양지마을→백현중학교),1,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0396,경기도,성남시,지방도,338,판교원로,3,경기도 성남시 분당구 판교동 479-10,37.3850102,127.0881926,하산운지하차도 전 100m지점(서판교IC→한국잡월드),1,60,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
H8774,경기도,성남시,시도,100,중앙공원로40번길,3,경기도 성남시 분당구 서현동 96번지 시범단지우성아파트,37.3796372,127.1313876,분당어린이공원 어린이보호구역(분당초교)(서현역→분당어린이공원),1,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H8811,경기도,성남시,시도,6,탄천로,3,경기도 성남시 분당구 야탑동 485-13,37.40732401,127.1236961,더늘사랑어린이집 건너편 어린이보호구역(아름사거리→탄천종합운동장),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9923,경기도,성남시,시도,6,동판교로,3,경기도 성남시 분당구 백현동 546-6,37.39060301,127.1167501,백현마을4단지 입구 어린이보호구역(화랑초교)(보평중학교→신백현초교),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9565,경기도,성남시,시도,4,돌마로356번길,3,경기도 성남시 분당구 수내동 74번지,37.3675201,127.1252691,수내초교 후문 앞 어린이보호구역(수내역→수내3동행정복지센터),1,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9894,경기도,성남시,시도,6,금곡로,3,경기도 성남시 분당구 금곡동 243,37.35455101,127.1146411,청솔초교 앞 어린이보호구역(돌마교사거리→금곡사거리),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9895,경기도,성남시,시도,6,판교로,3,경기도 성남시 분당구 삼평동 717-6,37.4042961,127.1157388,송현초교사거리 어린이보호구역(벌말사거리→봇들사거리),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9896,경기도,성남시,시도,6,양현로,3,경기도 성남시 분당구 야탑동 207-2번지,37.41483901,127.1388671,뽀뽀뽀유치원 앞 어린이보호구역(도촌사거리→여수동입구사거리),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9897,경기도,성남시,시도,6,양현로94번길,3,경기도 성남시 분당구 이매동 117번지 이매촌,37.39066501,127.1267781,이매촌동신3단지 정문 어린이보호구역(안말초교)(서현근린공원→구렛들공원),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9898,경기도,성남시,시도,6,내정로,3,경기도 성남시 분당구 정자동 195번지,37.36173301,127.1148901,탄천초교 앞 삼거리 어린이보호구역(계원삼거리→신기사거리),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9842,경기도,성남시,시도,23,돌마로,3,경기도 성남시 분당구 야탑동 197-1,37.40926701,127.1437161,성은학교 앞 어린이보호구역(상탑사거리→도촌사거리),1,50,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9843,경기도,성남시,시도,5,성남대로172번길,3,경기도 성남시 분당구 금곡동 150번지,37.35445701,127.1147171,즐거운유치원 앞 어린이보호구역(구미1동행정복지센터→미금역),1,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9845,경기도,성남시,시도,23,미금로,3,경기도 성남시 분당구 구미동 109,37.34473601,127.1161111,주공5단지아파트 504동 앞 어린이보호구역(오리초교)(구미교→미금초교),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9846,경기도,성남시,시도,342,금곡로25번길,3,경기도 성남시 분당구 구미동 198-4,37.34445401,127.1120721,구미동어린이집 어린이보호구역(구미1동행정복지센터→오리공원),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9847,경기도,성남시,시도,5,금곡로25번길,3,경기도 성남시 분당구 구미동 198-4,37.34440601,127.1119981,구미동어린이집 어린이보호구역(오리공원→구미1동행정복지센터),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9848,경기도,성남시,시도,204,금곡로,3,경기도 성남시 분당구 금곡동 214,37.35445701,127.1147171,청솔초교 앞 어린이보호구역(청솔중교→돌마교사거리 ),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H9850,경기도,성남시,시도,5,판교로,3,경기도 성남시 분당구 야탑동 158번지 목련마을대진빌라,37.40550101,127.1447851,상탑초교 앞 삼거리 어린이보호구역(돌마사거리→야탑고교),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
H5684,경기도,성남시,시도,23번,동판교로,3,경기도 성남시 분당구 삼평동 709-1,37.4050679,127.1154659,송현초교 앞 어린이보호구역(봇들마을1단지→봇들마을3단지),2,30,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08
