시설물명,위도,경도,카테고리
보호구역표지판_성남-01-001_1,37.438489,127.168382,보호구역표지판
보호구역표지판_성남-01-001_2,37.439075,127.168028,보호구역표지판
보호구역표지판_성남-01-001_3,37.439039,127.168039,보호구역표지판
보호구역표지판_성남-01-001_4,37.439023,127.167779,보호구역표지판
보호구역표지판_성남-01-001_5,37.438545,127.166558,보호구역표지판
보호구역표지판_성남-01-001_6,37.438491,127.166524,보호구역표지판
보호구역표지판_성남-01-001_7,37.438392,127.166583,보호구역표지판
보호구역표지판_성남-01-001_8,37.438171,127.166712,보호구역표지판
보호구역표지판_성남-01-001_9,37.437508,127.167109,보호구역표지판
보호구역표지판_성남-01-001_10,37.436952,127.167461,보호구역표지판
보호구역표지판_성남-01-002_11,37.447151,127.168778,보호구역표지판
보호구역표지판_성남-01-002_12,37.447285,127.169529,보호구역표지판
보호구역표지판_성남-01-002_13,37.447303,127.169611,보호구역표지판
보호구역표지판_성남-01-002_14,37.447366,127.169665,보호구역표지판
보호구역표지판_성남-01-002_15,37.447359,127.169917,보호구역표지판
보호구역표지판_성남-01-002_16,37.447871,127.172311,보호구역표지판
보호구역표지판_성남-01-002_17,37.447038,127.169356,보호구역표지판
보호구역표지판_성남-01-002_18,37.446865,127.169048,보호구역표지판
보호구역표지판_성남-01-002_19,37.445821,127.169323,보호구역표지판
보호구역표지판_성남-01-002_20,37.446031,127.169238,보호구역표지판
보호구역표지판_성남-01-002_21,37.445745,127.167944,보호구역표지판
보호구역표지판_성남-01-002_22,37.445783,127.167853,보호구역표지판
보호구역표지판_성남-01-002_23,37.446921,127.168819,보호구역표지판
보호구역표지판_성남-01-002_24,37.446973,127.169054,보호구역표지판
보호구역표지판_성남-01-002_25,37.446761,127.168082,보호구역표지판
보호구역표지판_성남-01-003_26,37.450108,127.166052,보호구역표지판
보호구역표지판_성남-01-003_27,37.450845,127.166096,보호구역표지판
보호구역표지판_성남-01-003_28,37.451275,127.167419,보호구역표지판
보호구역표지판_성남-01-003_29,37.450966,127.166043,보호구역표지판
보호구역표지판_성남-01-003_30,37.450913,127.165647,보호구역표지판
보호구역표지판_성남-01-003_31,37.450989,127.166122,보호구역표지판
보호구역표지판_성남-01-003_32,37.450757,127.166008,보호구역표지판
보호구역표지판_성남-01-003_33,37.451418,127.165521,보호구역표지판
보호구역표지판_성남-01-003_34,37.450981,127.165729,보호구역표지판
보호구역표지판_성남-01-003_35,37.450855,127.165415,보호구역표지판
보호구역표지판_성남-01-003_36,37.450788,127.165107,보호구역표지판
보호구역표지판_성남-01-003_37,37.450102,127.162509,보호구역표지판
보호구역표지판_성남-01-003_38,37.450106,127.162532,보호구역표지판
보호구역표지판_성남-01-003_39,37.450482,127.164363,보호구역표지판
보호구역표지판_성남-01-003_40,37.449838,127.166323,보호구역표지판
보호구역표지판_성남-01-003_41,37.450058,127.166244,보호구역표지판
보호구역표지판_성남-01-003_42,37.450031,127.166258,보호구역표지판
보호구역표지판_성남-01-004_43,37.442842,127.180951,보호구역표지판
보호구역표지판_성남-01-004_44,37.442736,127.181202,보호구역표지판
보호구역표지판_성남-01-004_45,37.442736,127.181216,보호구역표지판
보호구역표지판_성남-01-004_46,37.443493,127.181224,보호구역표지판
보호구역표지판_성남-01-004_47,37.443921,127.179711,보호구역표지판
보호구역표지판_성남-01-004_48,37.442521,127.179081,보호구역표지판
보호구역표지판_성남-01-004_49,37.442509,127.179303,보호구역표지판
보호구역표지판_성남-01-004_50,37.441563,127.179211,보호구역표지판
보호구역표지판_성남-01-004_51,37.441611,127.179047,보호구역표지판
보호구역표지판_성남-01-004_52,37.441494,127.178962,보호구역표지판
보호구역표지판_성남-01-004_53,37.442861,127.180584,보호구역표지판
보호구역표지판_성남-01-004_54,37.442861,127.180569,보호구역표지판
보호구역표지판_성남-01-004_55,37.442854,127.180584,보호구역표지판
보호구역표지판_성남-01-004_56,37.442791,127.179434,보호구역표지판
보호구역표지판_성남-01-004_57,37.442444,127.180431,보호구역표지판
보호구역표지판_성남-01-004_58,37.442126,127.180545,보호구역표지판
보호구역표지판_성남-01-004_59,37.441451,127.180442,보호구역표지판
보호구역표지판_성남-01-004_60,37.441446,127.180459,보호구역표지판
보호구역표지판_성남-01-004_61,37.441451,127.180414,보호구역표지판
보호구역표지판_성남-01-004_62,37.441371,127.179527,보호구역표지판
보호구역표지판_성남-01-004_63,37.440725,127.179104,보호구역표지판
보호구역표지판_성남-01-004_64,37.441664,127.178083,보호구역표지판
보호구역표지판_성남-01-005_65,37.414017,127.156834,보호구역표지판
보호구역표지판_성남-01-005_66,37.413758,127.158332,보호구역표지판
보호구역표지판_성남-01-005_67,37.414274,127.158718,보호구역표지판
보호구역표지판_성남-01-005_68,37.414834,127.159132,보호구역표지판
보호구역표지판_성남-01-005_69,37.415086,127.159307,보호구역표지판
보호구역표지판_성남-01-005_70,37.414658,127.159205,보호구역표지판
보호구역표지판_성남-01-005_71,37.414224,127.158933,보호구역표지판
보호구역표지판_성남-01-005_72,37.413392,127.159001,보호구역표지판
보호구역표지판_성남-01-005_73,37.413852,127.158641,보호구역표지판
보호구역표지판_성남-01-005_74,37.413741,127.158553,보호구역표지판
보호구역표지판_성남-01-006_75,37.334296,127.118297,보호구역표지판
보호구역표지판_성남-01-006_76,37.335642,127.117582,보호구역표지판
보호구역표지판_성남-01-006_77,37.335678,127.117554,보호구역표지판
보호구역표지판_성남-01-006_78,37.335953,127.117738,보호구역표지판
보호구역표지판_성남-01-006_79,37.335956,127.117735,보호구역표지판
보호구역표지판_성남-01-006_80,37.335569,127.118064,보호구역표지판
보호구역표지판_성남-01-006_81,37.336582,127.116982,보호구역표지판
보호구역표지판_성남-01-006_82,37.336404,127.116692,보호구역표지판
보호구역표지판_성남-01-006_83,37.336573,127.116495,보호구역표지판
보호구역표지판_성남-01-006_84,37.337361,127.116013,보호구역표지판
보호구역표지판_성남-01-006_85,37.340041,127.115952,보호구역표지판
보호구역표지판_성남-01-006_86,37.337931,127.113475,보호구역표지판
보호구역표지판_성남-01-006_87,37.337974,127.117016,보호구역표지판
보호구역표지판_성남-01-006_88,37.337975,127.117901,보호구역표지판
보호구역표지판_성남-01-006_89,37.338017,127.118861,보호구역표지판
보호구역표지판_성남-01-006_90,37.338968,127.120338,보호구역표지판
보호구역표지판_성남-01-006_91,37.338291,127.118851,보호구역표지판
보호구역표지판_성남-01-006_92,37.338254,127.118229,보호구역표지판
보호구역표지판_성남-01-006_93,37.338255,127.117462,보호구역표지판
보호구역표지판_성남-01-006_94,37.337941,127.118954,보호구역표지판
보호구역표지판_성남-01-006_95,37.337575,127.119131,보호구역표지판
보호구역표지판_성남-01-006_96,37.337515,127.119131,보호구역표지판
보호구역표지판_성남-01-006_97,37.337439,127.118958,보호구역표지판
보호구역표지판_성남-01-006_98,37.337116,127.119121,보호구역표지판
보호구역표지판_성남-01-006_99,37.336373,127.118757,보호구역표지판
보호구역표지판_성남-01-006_100,37.336925,127.119083,보호구역표지판
보호구역표지판_성남-01-006_101,37.336749,127.119009,보호구역표지판
보호구역표지판_성남-01-006_102,37.335899,127.118078,보호구역표지판
보호구역표지판_성남-01-007_103,37.373969,127.120168,보호구역표지판
보호구역표지판_성남-01-007_104,37.373591,127.120579,보호구역표지판
보호구역표지판_성남-01-007_105,37.372354,127.121994,보호구역표지판
보호구역표지판_성남-01-007_106,37.372119,127.122236,보호구역표지판
보호구역표지판_성남-01-007_107,37.373649,127.122044,보호구역표지판
보호구역표지판_성남-01-007_108,37.372977,127.123065,보호구역표지판
보호구역표지판_성남-01-008_109,37.408545,127.129227,보호구역표지판
보호구역표지판_성남-01-008_110,37.409509,127.129497,보호구역표지판
보호구역표지판_성남-01-008_111,37.409725,127.130045,보호구역표지판
보호구역표지판_성남-01-008_112,37.409665,127.130728,보호구역표지판
보호구역표지판_성남-01-008_113,37.409834,127.131358,보호구역표지판
보호구역표지판_성남-01-008_114,37.409732,127.132002,보호구역표지판
보호구역표지판_성남-01-008_115,37.409675,127.132369,보호구역표지판
보호구역표지판_성남-01-008_116,37.409606,127.131169,보호구역표지판
보호구역표지판_성남-01-009_117,37.350263,127.115824,보호구역표지판
보호구역표지판_성남-01-009_118,37.349346,127.115911,보호구역표지판
보호구역표지판_성남-01-009_119,37.348242,127.115914,보호구역표지판
보호구역표지판_성남-01-009_120,37.347136,127.115918,보호구역표지판
보호구역표지판_성남-01-009_121,37.346753,127.116276,보호구역표지판
보호구역표지판_성남-01-009_122,37.347981,127.116275,보호구역표지판
보호구역표지판_성남-01-009_123,37.349241,127.116272,보호구역표지판
보호구역표지판_성남-01-009_124,37.349909,127.115906,보호구역표지판
보호구역표지판_성남-01-009_125,37.346627,127.118355,보호구역표지판
보호구역표지판_성남-01-009_126,37.346626,127.118906,보호구역표지판
보호구역표지판_성남-01-009_127,37.346393,127.118465,보호구역표지판
보호구역표지판_성남-01-009_128,37.346387,127.117111,보호구역표지판
보호구역표지판_성남-01-009_129,37.346265,127.114907,보호구역표지판
보호구역표지판_성남-01-010_130,37.369057,127.111715,보호구역표지판
보호구역표지판_성남-01-010_131,37.371209,127.111648,보호구역표지판
보호구역표지판_성남-01-010_132,37.371348,127.111941,보호구역표지판
보호구역표지판_성남-01-010_133,37.371294,127.111705,보호구역표지판
보호구역표지판_성남-01-010_134,37.371839,127.112289,보호구역표지판
보호구역표지판_성남-01-010_135,37.371921,127.112099,보호구역표지판
보호구역표지판_성남-01-010_136,37.372059,127.112236,보호구역표지판
보호구역표지판_성남-01-010_137,37.372145,127.112366,보호구역표지판
보호구역표지판_성남-01-010_138,37.373211,127.113875,보호구역표지판
보호구역표지판_성남-01-010_139,37.373978,127.112702,보호구역표지판
보호구역표지판_성남-01-010_140,37.373065,127.111442,보호구역표지판
보호구역표지판_성남-01-010_141,37.372754,127.111001,보호구역표지판
보호구역표지판_성남-01-010_142,37.372431,127.110864,보호구역표지판
보호구역표지판_성남-01-010_143,37.372251,127.110613,보호구역표지판
보호구역표지판_성남-01-011_144,37.380048,127.128897,보호구역표지판
보호구역표지판_성남-01-011_145,37.379891,127.129117,보호구역표지판
보호구역표지판_성남-01-011_146,37.379813,127.129201,보호구역표지판
보호구역표지판_성남-01-011_147,37.379679,127.129371,보호구역표지판
보호구역표지판_성남-01-011_148,37.379176,127.130081,보호구역표지판
보호구역표지판_성남-01-011_149,37.379101,127.130205,보호구역표지판
보호구역표지판_성남-01-011_150,37.379053,127.130631,보호구역표지판
보호구역표지판_성남-01-011_151,37.378631,127.131028,보호구역표지판
보호구역표지판_성남-01-011_152,37.377864,127.131931,보호구역표지판
보호구역표지판_성남-01-012_153,37.418869,127.130849,보호구역표지판
보호구역표지판_성남-01-012_154,37.418908,127.132354,보호구역표지판
보호구역표지판_성남-01-012_155,37.419191,127.132358,보호구역표지판
보호구역표지판_성남-01-012_156,37.419627,127.132358,보호구역표지판
보호구역표지판_성남-01-012_157,37.420069,127.132362,보호구역표지판
보호구역표지판_성남-01-012_158,37.419944,127.132452,보호구역표지판
보호구역표지판_성남-01-012_159,37.419942,127.132559,보호구역표지판
보호구역표지판_성남-01-012_160,37.419872,127.132449,보호구역표지판
보호구역표지판_성남-01-012_161,37.419827,127.132449,보호구역표지판
보호구역표지판_성남-01-012_162,37.419782,127.132452,보호구역표지판
