연번,시,구,동,관리번호,지번주소,도로명주소,설치일자,카메라대수,위도,경도,데이터기준일자
1634.0,경기도 성남시,분당구,분당동,분당분당-A-1,분당동 102번지,선지봉로 3 (분당동),2008,5.0,37.374913,127.144531,2025-11-12
1635.0,경기도 성남시,분당구,분당동,분당분당-A-2,분당동 114번지,선지봉로7번길 4 (분당동),2008,5.0,37.370527,127.146472,2025-11-12
1636.0,경기도 성남시,분당구,분당동,분당분당-A-3,분당동 195-1번지,서현로439번길 27 (분당동),2008,5.0,37.369555,127.1475,2025-11-12
1637.0,경기도 성남시,분당구,분당동,분당분당-A-4,분당동 124번지,분당로311번길 10-3 (분당동),2008,3.0,37.369265,127.146561,2025-11-12
1638.0,경기도 성남시,분당구,분당동,분당분당-A-5,분당동 149-1번지,예원로 22 (분당동),2008,5.0,37.367136,127.144242,2025-11-12
1639.0,경기도 성남시,분당구,분당동,분당분당-A-6,분당동 168-16번지,예원로6번길 32 (분당동),2008,5.0,37.367206,127.141518,2025-11-12
1640.0,경기도 성남시,분당구,분당동,분당분당-A-7,분당동 173-1번지,서현로429번길 30 (분당동),2008,5.0,37.365951,127.141864,2025-11-12
1641.0,경기도 성남시,분당구,분당동,분당분당-A-8,분당동 180-2번지,,2008,4.0,37.36556,127.142113,2025-11-12
1642.0,경기도 성남시,분당구,분당동,분당분당-A-9,분당동 106-6번지,,2009,4.0,37.37635,127.14575,2025-11-12
1643.0,경기도 성남시,분당구,분당동,분당분당-A-10,분당동 162번지,"예원로 7 (분당동, 동아빌라)",2009,5.0,37.36757,127.142692,2025-11-12
1644.0,경기도 성남시,분당구,분당동,분당분당-A-11,분당동 51-8번지,,2010,5.0,37.369731,127.134393,2025-11-12
1645.0,경기도 성남시,분당구,분당동,분당분당-A-12,분당동 57-10번지,,2011,5.0,37.368545,127.135027,2025-11-12
1646.0,경기도 성남시,분당구,분당동,분당분당-A-13,분당동 108-1번지,,2011,5.0,37.376555,127.144799,2025-11-12
1647.0,경기도 성남시,분당구,분당동,분당분당-A-14,분당동 194-3번지,,2012,5.0,37.372592,127.143017,2025-11-12
1648.0,경기도 성남시,분당구,분당동,분당분당-A-15,분당동 88번지,분당로 196 (분당동),2012,5.0,37.369442,127.143579,2025-11-12
1649.0,경기도 성남시,분당구,분당동,분당분당-A-16,분당동 45번지,장안로14번길 37 (분당동),2013,4.0,37.371001,127.133519,2025-11-12
1650.0,경기도 성남시,분당구,분당동,분당분당-A-17,분당동 89번지,서현로421번길 6 (분당동),2013,4.0,37.370698,127.141045,2025-11-12
1651.0,경기도 성남시,분당구,분당동,분당분당-A-18,분당동 179번지,,2013,5.0,37.36555,127.14133,2025-11-12
1652.0,경기도 성남시,분당구,분당동,분당분당-A-19,분당동 160-10,분당로381번길 5-2 (분당동),45383,4.0,37.368442,127.141602,2025-11-12
1653.0,경기도 성남시,분당구,분당동,분당분당-A-20,분당동 91번지,장안로52번길 3 (분당동),2013,3.0,37.37161,127.1439,2025-11-12
1654.0,경기도 성남시,분당구,분당동,분당분당-A-21,분당동 36번지,"서현로478번길 25 (분당동, 두앙노빌리티)",2013,3.0,37.373896,127.131934,2025-11-12
1655.0,경기도 성남시,분당구,분당동,분당분당-A-22,분당동 146-15번지,분당로327번길 2 (분당동),2013,4.0,37.367951,127.145312,2025-11-12
1656.0,경기도 성남시,분당구,분당동,분당분당-A-23,분당동 100-5번지,,2013,5.0,37.374731,127.143649,2025-11-12
1657.0,경기도 성남시,분당구,분당동,분당분당-A-24,분당동 37번지,"수내로 201 (분당동, 샛별마을삼부아파트)",2014,5.0,37.371993,127.130253,2025-11-12
1658.0,경기도 성남시,분당구,분당동,분당분당-A-25,분당동 127-8번지,"장안로25번길 28 (분당동, 건영아파트)",2014,5.0,37.368801,127.147048,2025-11-12
1659.0,경기도 성남시,분당구,분당동,분당분당-A-26,분당동 118-1번지,장안로26번길 12 (분당동),2014,5.0,37.370927,127.144664,2025-11-12
1660.0,경기도 성남시,분당구,분당동,분당분당-A-27,분당동 139번지,장안로56번길 32 (분당동),2014,4.0,37.36975,127.14453,2025-11-12
1661.0,경기도 성남시,분당구,분당동,분당분당-A-28,분당동 151-8번지,,2014,5.0,37.366427,127.142928,2025-11-12
1662.0,경기도 성남시,분당구,분당동,분당분당-A-29,분당동 28-5번지,분당로327번길 12 (분당동),2014,4.0,37.374195,127.150717,2025-11-12
1663.0,경기도 성남시,분당구,분당동,분당분당-A-30,분당동 39번지,분당로 355-2 (분당동),2014,5.0,37.37048,127.12748,2025-11-12
1664.0,경기도 성남시,분당구,분당동,분당분당-A-31,분당동 67번지,,2014,5.0,37.370762,127.140028,2025-11-12
1665.0,경기도 성남시,분당구,분당동,분당분당-A-32,분당동 156번지,서현로478번길 3 (분당동),2014,6.0,37.368716,127.143462,2025-11-12
1666.0,경기도 성남시,분당구,분당동,분당분당-A-33,분당동 120-6번지,서현로494번길 20 (분당동),2015,5.0,37.36856,127.14573,2025-11-12
1667.0,경기도 성남시,분당구,분당동,분당분당-A-34,분당동 198-1번지,분당로381번길 14 (분당동),2015,7.0,37.374314,127.143363,2025-11-12
1668.0,경기도 성남시,분당구,분당동,분당분당-A-35,분당동 153-15번지,장안로62번길 38 (분당동),2016,3.0,37.3671,127.14304,2025-11-12
1669.0,경기도 성남시,분당구,분당동,분당분당-A-36,분당동 147-3번지,선지봉로16번길 6 (분당동),2016,4.0,37.36745,127.14534,2025-11-12
1670.0,경기도 성남시,분당구,분당동,분당분당-A-37,분당동 64-1번지,서현로439번길 13 (분당동),2016,3.0,37.36847,127.13341,2025-11-12
1671.0,경기도 성남시,분당구,분당동,분당분당-A-38,분당동 129-16번지,선지봉로20번길 10 (분당동),2017-08,4.0,37.37077,127.1472,2025-11-12
1672.0,경기도 성남시,분당구,분당동,분당분당-A-39,분당동 119-4번지,선지봉로6번길 12 (분당동),2017-08,4.0,37.36957,127.14558,2025-11-12
1673.0,경기도 성남시,분당구,분당동,분당분당-A-40,분당동 121-10번지,분당로311번길 10-6 (분당동),2017-08,5.0,37.3689,127.14631,2025-11-12
1674.0,경기도 성남시,분당구,분당동,분당분당-A-41,분당동 126-3번지,,2018-07,4.0,37.36855,127.14653,2025-11-12
1675.0,경기도 성남시,분당구,분당동,분당분당-A-42,분당동 177-8번지,서현로 429번길 18,2018-07,4.0,37.36526,127.14092,2025-11-12
1676.0,경기도 성남시,분당구,분당동,분당분당-A-43,분당동 103-9번지,장안로 51번길 10,2018-07,4.0,37.37496,127.1459,2025-11-12
1677.0,경기도 성남시,분당구,분당동,분당분당-A-44,분당동 183-7번지,불정로 308,2019-09,3.0,37.36516,127.1402,2025-11-12
1678.0,경기도 성남시,분당구,분당동,분당분당-A-45,분당동 172-7번지,장안로 4번길1,2019-09,4.0,37.36653,127.1409,2025-11-12
1679.0,경기도 성남시,분당구,분당동,분당분당-A-46,분당동 167-6번지,분당로311번길 12,2019-09,5.0,37.36728,127.14306,2025-11-12
1680.0,경기도 성남시,분당구,분당동,분당분당-A-47,분당동 193-1번지,장안로4번길 1-6,2019-12,5.0,37.36913,127.13921,2025-11-12
1681.0,경기도 성남시,분당구,분당동,분당분당-A-48,분당동 105-1,,2020-07,4.0,37.375558,127.144712,2025-11-12
1682.0,경기도 성남시,분당구,분당동,분당분당-A-49,분당동 194-3,,2020-07,4.0,37.372373,127.143127,2025-11-12
1683.0,경기도 성남시,분당구,분당동,분당분당-A-50,분당동 41,,2020-07,3.0,37.370126,127.130453,2025-11-12
1684.0,경기도 성남시,분당구,분당동,분당분당-A-51,분당동 165-8,예원로36번길 17,2020-07,4.0,37.367804,127.140871,2025-11-12
1685.0,경기도 성남시,분당구,분당동,분당분당-A-52,분당동 163,분당로 271,2020-12,5.0,37.367873,127.142208,2025-11-12
1686.0,경기도 성남시,분당구,분당동,분당분당-A-53,분당동 166-4,장안로56번길 3-2,2021-06,4.0,37.368084,127.141405,2025-11-12
1687.0,경기도 성남시,분당구,분당동,분당분당-A-54,분당동 124번지,예원로6번길 61,2021-06,5.0,37.369529,127.146442,2025-11-12
1688.0,경기도 성남시,분당구,분당동,분당분당-A-55,분당동 37,장안로25번길 28,2022-06,5.0,37.37149,127.13067,2025-11-12
1689.0,경기도 성남시,분당구,분당동,분당분당-A-56,분당동 37,,2022-06,6.0,37.3731,127.1289,2025-11-12
