시설명,도로명주소,구,위도,경도,안전점수,등급,사고유무_300m,사고건수_300m,도로적색표면_300m,신호등_300m,횡단보도_300m,도로안전표지_300m,보호구역표지판_300m,무단횡단방지펜스_300m,CCTV_300m,무인카메라_300m,어린이비율,옐로카펫_300m
성수초등학교,경기도 성남시 수정구 모란로 11,수정구,37.433766,127.127238,0.0,D,1,38,5,3,3,3,3,8,29,5,5.39,1
분당초등학교,경기도 성남시 분당구 중앙공원로 32번길 20,분당구,37.378988,127.129653,41.31,D,1,12,3,5,3,2,11,12,4,2,19.77,0
내정초등학교,경기도 성남시 분당구 내정로 174번길 19,분당구,37.372402,127.122264,60.0,D,0,0,2,10,1,1,6,4,13,4,19.77,2
초림초등학교,경기도 성남시 분당구 수내로 90번길 26,분당구,37.376826,127.117592,48.58,D,0,0,2,3,0,0,12,7,13,1,12.51,1
금상초등학교,경기도 성남시 중원구 금상로 97,중원구,37.443599,127.165995,69.63,B,0,0,10,12,3,5,15,8,41,8,14.52,2
서현초등학교,경기도 성남시 분당구 중앙공원로 39번길 12,분당구,37.382576,127.12855,66.43,C,0,0,8,2,5,4,13,10,11,1,19.77,1
이매초등학교,경기도 성남시 분당구 양현로 146,분당구,37.39721,127.126493,55.27,D,0,0,2,4,3,3,5,11,15,3,12.32,1
대일초등학교,경기도 성남시 중원구 금상로 55번길 22,중원구,37.438468,127.164185,49.35,D,0,0,6,1,1,1,15,15,37,1,5.29,1
위례한빛초등학교,경기도 성남시 수정구 위례동로 55,수정구,37.465766,127.147017,56.17,D,0,0,6,4,0,0,13,17,7,2,15.01,1
위례중앙초등학교,경기도 성남시 수정구 위례순환로 71,수정구,37.471899,127.135874,56.48,D,0,0,8,3,0,0,11,16,9,1,15.01,1
희망대초등학교,경기도 성남시 수정구 공원로 370번길 29,수정구,37.447498,127.149115,59.98,D,0,0,10,10,0,0,14,14,20,5,12.99,1
대원초등학교,경기도 성남시 중원구 희망로343번길 24,중원구,37.436671,127.155099,56.53,D,0,0,4,2,2,1,8,23,5,1,6.25,1
중원초등학교,경기도 성남시 중원구 사기막골로31번길 46,중원구,37.437855,127.167857,48.02,D,0,0,5,0,0,0,15,12,18,0,5.29,1
위례푸른초등학교,경기도 성남시 수정구 위례순환로 205,수정구,37.470731,127.150981,64.51,C,0,0,11,6,0,0,25,22,8,3,15.01,1
위례고운초등학교,경기도 성남시 수정구 위례순환로 155,수정구,37.471437,127.145794,64.52,C,0,0,12,7,0,0,23,16,7,3,15.01,1
금빛초등학교,경기도 성남시 수정구 남문로 112,수정구,37.447331,127.140567,64.16,C,1,3,17,3,5,5,22,22,64,2,5.77,1
하탑초등학교,경기도 성남시 분당구 양현로 262,분당구,37.407326,127.126613,68.47,B,1,4,6,7,5,6,14,23,13,2,11.32,1
돌마초등학교,경기도 성남시 분당구 야탑로97번길 7,분당구,37.409099,127.130378,65.0,C,0,0,7,5,5,4,8,10,14,2,11.32,1
성남매송초등학교,경기도 성남시 분당구 탄천로 97,분당구,37.402183,127.122403,51.83,D,0,0,3,2,2,2,7,18,10,1,12.32,0
한솔초등학교,경기도 성남시 분당구 돌마로 303,분당구,37.366777,127.118015,43.78,D,0,0,1,0,1,3,3,9,13,1,8.5,0
성남중앙초등학교,경기도 성남시 중원구 원터로 94번길 7,중원구,37.436255,127.143529,68.82,B,0,0,16,5,6,6,13,13,16,5,4.05,0
성남정자초등학교,경기도 성남시 분당구 분당수서로 442,분당구,37.374517,127.104912,50.48,D,0,0,6,2,2,2,4,6,2,2,10.99,0
성남북초등학교,경기도 성남시 수정구 희망로534번길 3,수정구,37.4515,127.151474,88.03,A,0,0,22,10,5,4,28,22,23,6,12.99,2
왕남초등학교,경기도 성남시 수정구 대왕판교로 959번길 48,수정구,37.428469,127.098687,67.58,C,0,0,12,8,0,2,19,28,19,4,13.09,1
불정초등학교,경기도 성남시 분당구 돌마로 250,분당구,37.361254,127.119496,59.68,D,0,0,2,2,4,6,8,10,13,2,12.24,1
판교대장초등학교,경기도 성남시 분당구 판교대장로 5길 71,분당구,37.368279,127.069713,72.57,B,0,0,16,11,0,0,34,33,24,2,16.51,0
산운초등학교,경기도 성남시 분당구 판교로117번길 11,분당구,37.389753,127.079005,80.48,A,0,0,23,7,4,5,19,18,23,5,17.45,1
단남초등학교,경기도 성남시 중원구 광명로 300번길 25,중원구,37.442905,127.161374,76.49,A,1,4,17,15,6,5,21,30,38,10,5.29,1
성남동초등학교,경기도 성남시 중원구 자혜로 32번길 10,중원구,37.449215,127.162178,63.62,C,0,0,16,4,1,1,18,15,25,0,6.69,1
단대초등학교,경기도 성남시 수정구 단대로 30,수정구,37.453611,127.157748,69.53,B,0,0,15,5,5,2,13,22,23,3,7.96,1
수진초등학교,경기도 성남시 수정구 탄리로 95번길 16,수정구,37.444944,127.133465,88.14,A,0,0,18,8,5,6,38,26,40,1,5.21,2
성남은행초등학교,경기도 성남시 중원구 순환로 447번길 11,중원구,37.461002,127.170901,55.45,D,0,0,10,1,3,3,23,2,11,1,5.5,0
태평초등학교,경기도 성남시 수정구 남문로 32번길 7,수정구,37.444953,127.131694,100.0,A,0,0,19,10,9,9,31,32,38,2,5.21,2
수내초등학교,경기도 성남시 분당구 백현로 243번길 12,분당구,37.367765,127.124663,69.19,B,0,0,6,9,3,3,7,11,14,1,8.5,2
당촌초등학교,경기도 성남시 분당구 분당로 196,분당구,37.373689,127.131262,63.62,C,0,0,2,4,5,5,5,13,8,1,11.54,1
성남초등학교,경기도 성남시 수정구 수정로 233,수정구,37.446085,127.144145,62.25,C,1,5,12,5,5,7,16,30,40,3,4.34,0
야탑초등학교,경기도 성남시 분당구 양현로 400,분당구,37.416616,127.125627,69.05,B,0,0,3,7,6,6,15,21,11,6,9.57,1
복정초등학교,경기도 성남시 수정구 성남대로 1480번길 25,수정구,37.46247,127.130386,55.65,D,0,0,12,1,0,0,11,18,11,1,5.78,1
청솔초등학교,경기도 성남시 분당구 금곡로 243,분당구,37.354657,127.1141,67.27,C,0,0,6,6,4,5,9,8,6,1,12.24,1
성남수정초등학교,경기도 성남시 수정구 제일로 123번길 9,수정구,37.436212,127.132786,64.41,C,0,0,5,6,5,5,8,31,33,0,3.47,0
성남송현초등학교,경기도 성남시 분당구 동판교로 258,분당구,37.405458,127.116346,71.93,B,0,0,9,4,6,4,14,38,8,3,14.34,0
상원초등학교,경기도 성남시 중원구 은행로 6,중원구,37.453884,127.162776,74.57,A,0,0,15,5,4,4,13,27,28,4,7.27,2
불곡초등학교,경기도 성남시 분당구 무지개로 129,분당구,37.340984,127.11973,61.52,C,0,0,8,1,4,4,9,7,4,1,9.22,1
양영초등학교,경기도 성남시 분당구 불정로 406번길 17,분당구,37.37466,127.140091,69.98,B,0,0,13,1,3,3,28,29,19,1,11.54,1
성남장안초등학교,경기도 성남시 분당구 장안로 51번길 10,분당구,37.372662,127.144459,63.17,C,0,0,10,1,4,4,22,20,15,1,10.75,0
판교초등학교,경기도 성남시 분당구 판교원로 231,분당구,37.387282,127.091443,84.24,A,0,0,15,9,5,5,17,26,16,1,17.45,1
대하초등학교,경기도 성남시 중원구 시민로 14,중원구,37.431908,127.151304,57.95,D,0,0,8,2,2,2,17,12,14,1,6.25,1
서당초등학교,경기도 성남시 분당구 돌마로 476번길 30,분당구,37.374602,127.134587,71.0,B,0,0,7,4,4,4,16,35,13,2,11.54,1
성남화랑초등학교,경기도 성남시 분당구 동판교로 77,분당구,37.390224,127.115888,67.51,C,0,0,6,8,4,5,8,20,6,2,12.23,0
보평초등학교,경기도 성남시 분당구 동판교로 154,분당구,37.396039,127.117758,74.47,B,0,0,15,7,4,5,8,16,17,2,12.32,1
하원초등학교,경기도 성남시 중원구 광명로 396,중원구,37.446255,127.170236,78.8,A,0,0,7,10,6,6,15,21,16,2,14.52,1
백현초등학교,경기도 성남시 분당구 백현로 144번길 26,분당구,37.372193,127.111168,71.08,B,0,0,11,8,3,3,13,21,18,1,9.91,1
안말초등학교,경기도 성남시 분당구 양현로 104,분당구,37.393154,127.125984,77.06,A,1,4,6,11,7,7,15,24,15,2,12.65,1
중부초등학교,경기도 성남시 중원구 자혜로 55,중원구,37.451546,127.164951,70.68,B,0,0,19,4,2,2,26,25,27,2,7.27,1
검단초등학교,경기도 성남시 중원구 원터로 25,중원구,37.429483,127.144034,68.95,B,0,0,15,5,4,4,11,8,20,1,8.5,1
도촌초등학교,경기도 성남시 중원구 도촌남로 99,중원구,37.41473,127.158024,74.71,A,0,0,9,5,5,5,10,26,6,1,11.89,1
탄천초등학교,경기도 성남시 분당구 내정로 20,분당구,37.361599,127.115645,73.05,B,0,0,8,8,7,5,8,16,16,3,9.91,1
성남신기초등학교,경기도 성남시 분당구 황새울로 74,분당구,37.366582,127.11106,66.95,C,0,0,7,5,6,7,11,12,13,2,9.91,0
