시설물명,시설유형,위도,경도,구,소재지지번주소,법정동,행정동,도로적색표면,신호등,횡단보도,도로안전표지,생활안전CCTV,무인교통단속카메라,보호구역표지판,옐로카펫,무단횡단방지펜스,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,부상자수,사고심각도,사고위험지수,총인구수,어린이인구_0_14,어린이비율,어린이비율(%),가산점_시설_V6,가산점_보너스_V6,감산점_합계_V6,최종안전점수_V6,등급_V6,시설물_점수(50점),사고이력_점수(30점),인구환경_점수(20점),최종_안전점수,등급_광민
구미초등학교,초등학교,37.34,127.12,분당구,경기도 성남시 분당구 구미동 215,구미동,구미동,17,17,6,6,5,1,30.0,1.0,27.0,6,6.0,6.0,0,6,0,0,30,36,44070,4177,9.5,9.22,29.9,0,4.4,75.5,A,29.75,28.43,12.69,70.87,A
낙생초등학교,초등학교,37.39,127.1,분당구,경기도 성남시 분당구 판교동 551,판교동,,14,13,7,7,19,2,,,,0,,,0,0,0,0,0,0,26365,4600,17.4,,27.9,0,8.6,69.3,A,,,,,
태평초등학교,초등학교,37.44,127.13,수정구,경기도 성남시 수정구 태평동 3743,태평동,태평2동,19,10,9,9,38,2,31.0,4.0,32.0,28,28.0,11.0,0,11,16,1,88,116,49641,2440,4.9,5.31,31.5,0,12.3,69.2,A,31.06,24.18,18.18,73.42,A
건영장안유치원,유치원,37.37,127.14,분당구,경기도 성남시 분당구 분당동 67,분당동,,18,9,6,6,15,1,,,,0,,,0,0,0,0,0,0,24396,2622,10.7,,24.6,0,5.5,69.1,A,,,,,
운중초등학교,초등학교,37.39,127.07,분당구,경기도 성남시 분당구 운중동 893,운중동,,30,4,7,7,23,2,,,,0,,,0,0,0,0,0,0,38266,6319,16.5,,27.4,0,9.0,68.4,A,,,,,
케이디엘피어학원,기타,37.39,127.12,분당구,경기도 성남시 분당구 이매동 124,이매동,서현1동,7,10,9,7,11,2,15.0,0.0,16.0,7,7.0,4.0,0,4,3,0,26,33,37333,4680,12.5,12.05,25.4,0,7.2,68.2,A,22.41,28.58,9.1,60.1,B
중탑초등학교,초등학교,37.41,127.14,분당구,경기도 성남시 분당구 야탑동 212,야탑동,야탑3동,14,7,7,7,13,2,12.0,1.0,45.0,3,3.0,3.0,1,2,0,0,20,23,58707,5752,9.8,9.05,23.7,0,6.3,67.4,A,25.67,29.37,13.08,68.13,A
단대어린이집,어린이집,37.45,127.16,수정구,경기도 성남시 수정구 단대동 129,단대동,,16,8,8,5,37,0,,,,0,,,0,0,0,0,0,0,14162,1128,8.0,,24.5,0,7.2,67.3,A,,,,,
은혜유치원,유치원,37.36,127.11,분당구,경기도 성남시 분당구 정자동 144,정자동,,13,0,6,5,15,3,,,,0,,,0,0,0,0,0,0,74647,7906,10.6,,15.6,9,7.4,67.2,A,,,,,
성남제일초등학교,초등학교,37.44,127.15,중원구,경기도 성남시 중원구 중앙동 2970,중앙동,중앙동,30,12,4,4,16,5,70.0,0.0,34.0,10,10.0,7.0,0,7,2,1,40,50,16585,1906,11.5,11.49,27.3,0,11.1,66.2,A,33.5,27.64,12.42,73.56,A
안말초등학교,초등학교,37.39,127.13,분당구,경기도 성남시 분당구 이매동 118,이매동,야탑2동,6,11,7,7,15,2,15.0,1.0,24.0,4,6.0,0.0,0,0,3,3,9,13,37333,4680,12.5,11.32,23.6,0,7.4,66.2,A,22.07,29.48,12.77,64.31,B
희영유치원,유치원,37.39,127.11,분당구,경기도 성남시 분당구 백현동 553-2,백현동,,10,8,7,7,21,2,,,,0,,,0,0,0,0,0,0,26316,3219,12.2,,22.9,0,7.7,65.2,A,,,,,
신흥성모유치원,유치원,37.45,127.14,수정구,경기도 성남시 수정구 신흥동 89,신흥동,신흥2동,14,7,9,11,51,4,28.0,1.0,26.0,5,5.0,1.0,1,0,4,0,18,23,54351,5060,9.3,12.99,29.3,0,14.3,65.0,A,28.32,29.37,7.84,65.52,B
하원초등학교,초등학교,37.45,127.17,중원구,경기도 성남시 중원구 금광동 2412,금광동,,7,10,6,6,16,2,,,,0,,,0,0,0,0,0,0,43046,4417,10.3,,21.3,0,6.5,64.8,A,,,,,
판교어린이집,어린이집,37.39,127.09,분당구,경기도 성남시 분당구 판교동 632,판교동,,12,4,7,6,12,0,,,,0,,,0,0,0,0,0,0,26365,4600,17.4,,20.0,0,5.5,64.5,A,,,,,
오리초등학교,초등학교,37.34,127.12,분당구,경기도 성남시 분당구 구미동 115,구미동,,9,11,4,4,9,1,,,,0,,,0,0,0,0,0,0,44070,4177,9.5,,18.8,0,4.3,64.5,A,,,,,
성남서초등학교,초등학교,37.45,127.13,수정구,경기도 성남시 수정구 태평동 5090-1,태평동,,6,7,6,7,16,2,,,,0,,,0,0,0,0,0,0,49641,2440,4.9,,19.7,0,5.3,64.4,A,,,,,
판교초등학교,초등학교,37.39,127.09,분당구,경기도 성남시 분당구 판교동 636,판교동,,15,9,5,5,16,1,,,,0,,,0,0,0,0,0,0,26365,4600,17.4,,21.6,0,7.2,64.4,A,,,,,
미금초등학교,초등학교,37.35,127.12,분당구,경기도 성남시 분당구 구미동 68,구미동,,9,10,5,3,8,1,,,,0,,,0,0,0,0,0,0,44070,4177,9.5,,18.4,0,4.1,64.3,A,,,,,
