시설종류,시설명,도로명주소,위도,경도,CCTV유무,CCTV대수,구,카메라_300m,CCTV_300m,표지판_300m,조명_500m,지킴이집_500m,사고다발지_500m,사고심각도_500m,최근접_카메라_거리,최근접_CCTV_거리,CCTV유무_수치,안전점수,안전여부,예측_안전점수_LightGBM,예측_안전점수_RandomForest,예측_안전점수_GBR,예측_안전점수_Ridge,예측_안전점수_SVR,예측_안전여부_LR,예측_안전확률_LR,예측_안전지수_v2
유치원,배성유치원,경기도 성남시 분당구 판교로 624-1,37.405999,127.142401,Y,1.0,분당구,4,8,3,396,2,0,0.0,67.5106563264694,61.65454733873358,1,100.0,1,99.96,99.71,99.97,100.02,100.08,1,0.9869,86.77
유치원,이솔유치원,경기도 성남시 분당구 미금로 232,37.352756,127.112602,Y,5.0,분당구,7,9,5,488,3,5,88.0,39.66345835409129,22.392842000682442,1,100.0,1,99.81,99.23,100.02,96.38,100.1,1,0.9757,82.14
유치원,성모 유치원,경기도 성남시 분당구 구미로 130번길 20,37.340099,127.124419,Y,4.0,분당구,0,7,1,270,0,0,0.0,425.8792518229187,36.07095368391369,1,100.0,1,98.59,98.11,100.29,97.18,100.1,1,0.8414,83.15
유치원,판교샘유치원,경기도 성남시 분당구 산운로 98,37.392021,127.072039,Y,1.0,분당구,3,19,2,545,2,0,0.0,117.88174011406029,108.08729824385101,1,100.0,1,99.56,99.8,99.97,103.14,99.9,1,0.9941,90.74
유치원,건영장안유치원,경기도 성남시 분당구 장안로 25번길 28,37.371127,127.140849,Y,1.0,분당구,5,15,6,612,4,0,0.0,85.24172902126644,28.829979764394626,1,100.0,1,100.03,99.93,99.97,106.88,99.98,1,0.999,95.51
유치원,뽀뽀뽀유치원,경기도 성남시 분당구 양현로 507,37.415425,127.138017,Y,4.0,분당구,5,9,6,322,3,1,20.0,51.56755383828761,57.419666377688685,1,100.0,1,100.0,99.97,99.97,98.08,99.99,1,0.9848,84.31
유치원,해나유치원,경기도 성남시 분당구 서판교로44번길 3,37.390831,127.09829,Y,1.0,분당구,3,18,5,590,1,0,0.0,33.878982422012186,22.54170743941177,1,100.0,1,100.68,99.78,99.98,106.62,99.9,1,0.9967,95.18
유치원,샛별유치원,경기도 성남시 분당구 수내로 201,37.371468,127.129754,Y,1.0,분당구,3,7,2,413,3,0,0.0,235.9535964229716,73.15973220667914,1,100.0,1,99.93,99.7,100.33,99.89,100.04,1,0.9864,86.6
유치원,성마르코유치원,경기도 성남시 분당구 매화로37번길 6,37.410832,127.133182,Y,1.0,분당구,4,23,4,577,4,7,113.0,54.843852729046276,24.522685640105315,1,100.0,1,101.07,99.6,99.99,97.22,100.1,1,0.9864,83.2
유치원,숲리라유치원,경기도 성남시 수정구 위례순환로4길 2,37.469683,127.147866,Y,1.0,수정구,5,14,0,26,0,0,0.0,149.78027869282928,26.871426938232027,1,100.0,1,99.31,95.18,101.18,90.2,99.9,1,0.6839,74.27
유치원,즐거운유치원,경기도 성남시 분당구 미금로 215,37.351408,127.111941,Y,1.0,분당구,6,14,4,548,5,5,88.0,108.47493807733245,59.32812862689615,1,100.0,1,100.03,100.0,100.02,97.22,100.1,1,0.9911,83.21
유치원,혜성유치원,경기도 성남시 중원구 광명로 308,37.444509,127.160252,N,0.0,중원구,12,39,4,777,0,10,155.0,16.315363711870493,19.194577865387114,0,100.0,1,97.57,96.38,99.45,102.48,99.02,1,0.9427,89.91
어린이집,산성어린이집,경기도 성남시 수정구 수정남로 269,37.453007,127.150387,Y,4.0,수정구,7,19,2,500,3,8,110.0,145.93918286195873,36.304464901107096,1,100.0,1,99.87,98.42,100.09,95.5,99.85,1,0.923,81.01
어린이집,성남어린이집,경기도 성남시 수정구 시민로222번길 6,37.447702,127.141485,Y,1.0,수정구,7,67,8,855,7,11,219.0,55.827112055501864,15.425643819852871,1,100.0,1,96.7,96.8,100.22,96.71,99.9,1,0.9985,82.55
어린이집,성현어린이집,경기도 성남시 수정구 탄리로17번길 6,37.438454,127.138715,Y,1.0,수정구,2,33,4,1324,2,15,310.0,218.64483218545095,17.92762600875305,1,100.0,1,108.67,97.5,101.55,98.75,99.9,1,0.9893,85.15
어린이집,리플플러스어린이집,경기도 성남시 수정구 성남대로1250번길 7-2,37.44181,127.128384,Y,1.0,수정구,10,33,13,790,7,19,372.0,180.95365816747537,47.78908336999238,1,100.0,1,98.33,95.59,99.82,86.78,99.9,1,0.9211,69.9
초등학교,당촌초등학교,경기도 성남시 분당구 분당로 196,37.373689,127.131262,Y,3.0,분당구,4,8,5,436,6,1,5.0,0.0,63.686696536582836,1,100.0,1,99.99,99.93,99.99,100.96,99.9,1,0.9982,87.96
초등학교,수내초등학교,경기도 성남시 분당구 백현로 243번길 12,37.367765,127.124663,Y,3.0,분당구,3,14,3,559,0,1,16.0,0.44477970624536156,32.5517494164228,1,100.0,1,100.95,99.81,99.92,103.21,100.08,1,0.9893,90.84
