시설물명,위도,경도,카테고리
신호등_101001,37.436497,127.127947,신호등
신호등_101002,37.439361,127.127421,신호등
신호등_101003,37.442287,127.126662,신호등
신호등_101004,37.443818,127.127355,신호등
신호등_101005,37.447842,127.126239,신호등
신호등_101006,37.451235,127.129394,신호등
신호등_101007,37.453486,127.126978,신호등
신호등_101008,37.456115,127.126816,신호등
신호등_101009,37.460106,127.12558,신호등
신호등_101010,37.465628,127.126083,신호등
신호등_101011,37.461711,127.129162,신호등
신호등_102001,37.435348,127.134084,신호등
신호등_102002,37.436848,127.133901,신호등
신호등_102003,37.437564,127.133079,신호등
신호등_102004,37.438715,127.132523,신호등
신호등_102005,37.442427,127.130915,신호등
신호등_102006,37.443201,127.130923,신호등
신호등_102007,37.443683,127.130315,신호등
신호등_102008,37.445038,127.130088,신호등
신호등_102009,37.446196,127.129351,신호등
신호등_102010,37.446926,127.129458,신호등
신호등_103001,37.415593,127.11477,신호등
신호등_103002,37.414395,127.113613,신호등
신호등_103003,37.411978,127.114199,신호등
신호등_104001,37.44014,127.121392,신호등
신호등_104002,37.439737,127.124365,신호등
신호등_104003,37.439377,127.125752,신호등
신호등_104004,37.440779,127.130463,신호등
신호등_104005,37.441035,127.131487,신호등
신호등_104006,37.441634,127.133244,신호등
신호등_104007,37.442356,127.135852,신호등
신호등_104008,37.443443,127.139248,신호등
신호등_104009,37.443788,127.140472,신호등
신호등_104010,37.4443996619,127.142502,신호등
신호등_104011,37.444756,127.144207,신호등
신호등_104012,37.446497,127.145781,신호등
신호등_104013,37.448094,127.145594,신호등
신호등_104014,37.449285,127.146351,신호등
신호등_104015,37.450764,127.145928,신호등
신호등_104016,37.450726,127.146563,신호등
신호등_104017,37.452259,127.150072,신호등
신호등_104018,37.453961,127.149958,신호등
신호등_104019,37.456663,127.150721,신호등
신호등_104020,37.458878,127.153991,신호등
신호등_104021,37.462048,127.155038,신호등
신호등_104022,37.443836,127.138397,신호등
신호등_104023,37.444119,127.138232,신호등
신호등_104024,37.44987,127.147015,신호등
신호등_104025,37.450512,127.147562,신호등
신호등_104026,37.450853,127.149038,신호등
신호등_104027,37.450567,127.149596,신호등
신호등_105001,37.422259,127.116678,신호등
신호등_105002,37.422588,127.108678,신호등
신호등_105003,37.422639,127.105176,신호등
신호등_106001,37.438571,127.139028,신호등
신호등_106002,37.439056,127.137474,신호등
신호등_106003,37.441075,127.136117,신호등
신호등_106004,37.443494,127.135377,신호등
신호등_106005,37.444723,127.135212,신호등
신호등_106006,37.446389,127.13432,신호등
신호등_107001,37.442996,127.15089,신호등
신호등_107002,37.44363,127.149286,신호등
신호등_107003,37.444592,127.147783,신호등
신호등_107004,37.44797,127.144018,신호등
신호등_107005,37.449078,127.143242,신호등
신호등_107006,37.450234,127.142717,신호등
신호등_107007,37.451878,127.14079,신호등
신호등_107008,37.461528,127.137279,신호등
신호등_107009,37.445666,127.150964,신호등
신호등_107010,37.445541,127.148637,신호등
신호등_107011,37.447499,127.149115,신호등
신호등_107012,37.449416,127.143637,신호등
신호등_108001,37.445276,127.15637,신호등
신호등_108002,37.448106,127.157936,신호등
신호등_108003,37.450485,127.159942,신호등
신호등_108004,37.451996,127.159606,신호등
신호등_108005,37.454131,127.160507,신호등
신호등_108006,37.455499754,127.161639,신호등
신호등_108007,37.457429,127.163164,신호등
신호등_108008,37.458243,127.163996,신호등
신호등_108009,37.460979,127.165147,신호등
신호등_108010,37.461949,127.167254,신호등
신호등_108011,37.463075,127.168952,신호등
신호등_108012,37.463768,127.170168,신호등
신호등_108013,37.450911,127.158963,신호등
신호등_108014,37.451309,127.157635,신호등
신호등_108015,37.451169,127.156281,신호등
신호등_109001,37.447065,127.155822,신호등
신호등_109002,37.447295,127.155263,신호등
신호등_109003,37.449115,127.154111,신호등
신호등_109004,37.449612,127.153631,신호등
신호등_109005,37.45011,127.153061,신호등
신호등_109006,37.450643,127.152003,신호등
신호등_109007,37.4514998414,127.151473,신호등
신호등_109008,37.450435,127.150775,신호등
신호등_109009,37.449739,127.150424,신호등
신호등_109010,37.449335,127.149463,신호등
신호등_109011,37.448565,127.148699,신호등
신호등_109012,37.448253,127.148443,신호등
신호등_109013,37.447174,127.14805,신호등
신호등_109014,37.446693,127.147975,신호등
신호등_109015,37.446211,127.147851,신호등
신호등_110001,37.444306,127.128627,신호등
신호등_110002,37.444954,127.13168,신호등
신호등_110003,37.445341,127.133073,신호등
신호등_110004,37.446873,127.135814,신호등
신호등_110005,37.446891,127.137413,신호등
신호등_110006,37.447346,127.140555,신호등
신호등_110007,37.448079,127.14053,신호등
신호등_111001,37.456612,127.160264,신호등
신호등_111002,37.4571998465,127.159671,신호등
신호등_111003,37.458611,127.158637,신호등
신호등_111004,37.460917,127.157406,신호등
신호등_111005,37.461847,127.158526,신호등
신호등_112001,37.418612,127.117682,신호등
신호등_112002,37.42013,127.117243,신호등
신호등_112003,37.427587,127.116256,신호등
신호등_112004,37.436139,127.120492,신호등
신호등_112005,37.441818,127.119466,신호등
신호등_112006,37.443893,127.119967,신호등
신호등_112007,37.4491,127.12098,신호등
신호등_112008,37.451644,127.121033,신호등
신호등_112009,37.457617,127.119038,신호등
신호등_112010,37.458734,127.120966,신호등
신호등_112011,37.466739,127.12464,신호등
신호등_113001,37.448286,127.128089,신호등
신호등_113002,37.447591,127.129089,신호등
신호등_113003,37.448544,127.129425,신호등
신호등_113004,37.449664,127.134261,신호등
신호등_113005,37.449297,127.133021,신호등
신호등_114001,37.409314,127.09779,신호등
신호등_114002,37.408971,127.097095,신호등
신호등_114003,37.408931,127.096012,신호등
신호등_114004,37.408434,127.095613,신호등
신호등_114005,37.408482,127.095077,신호등
신호등_114006,37.417314,127.080787,신호등
신호등_115001,37.425383,127.100169,신호등
신호등_115002,37.426095,127.095734,신호등
신호등_115003,37.427128,127.095349,신호등
신호등_115004,37.42811,127.093877,신호등
신호등_115005,37.429181,127.091203,신호등
신호등_115006,37.43374,127.084473,신호등
신호등_115007,37.432058,127.081668,신호등
신호등_115008,37.430539,127.073164,신호등
신호등_115009,37.430378,127.071555,신호등
신호등_116001,37.440899,127.143765,신호등
신호등_116002,37.441881,127.143272,신호등
신호등_117001,37.410459,127.099151,신호등
신호등_117002,37.412393,127.100085,신호등
신호등_117003,37.416654,127.101492,신호등
신호등_117004,37.420335,127.101799,신호등
신호등_117005,37.422651,127.101752,신호등
신호등_117006,37.423422,127.101574,신호등
신호등_117007,37.424282,127.10253,신호등
신호등_117008,37.425479,127.102078,신호등
신호등_117009,37.428159,127.10218,신호등
신호등_117010,37.430319,127.10175,신호등
신호등_117011,37.432729,127.102942,신호등
신호등_117012,37.434923,127.103079,신호등
신호등_117013,37.438661,127.103418,신호등
신호등_117014,37.444919,127.103447,신호등
신호등_117015,37.446152,127.103769,신호등
신호등_117016,37.447795,127.104466,신호등
신호등_117017,37.449504,127.10522,신호등
신호등_117018,37.454772,127.106527,신호등
신호등_117019,37.458091,127.107063,신호등
신호등_117020,37.459918,127.107417,신호등
신호등_118001,37.453611,127.157747,신호등
신호등_118002,37.452399,127.158123,신호등
신호등_119001,37.427847,127.100393,신호등
신호등_119002,37.428286,127.101295,신호등
신호등_119003,37.429749,127.100357,신호등
신호등_120001,37.428638,127.094364,신호등
신호등_120002,37.430356,127.096725,신호등
신호등_120003,37.430593,127.099523,신호등
신호등_120004,37.430117,127.10035,신호등
신호등_120005,37.430963,127.101052,신호등
신호등_121001,37.406061,127.08998,신호등
신호등_122001,37.428682,127.098413,신호등
신호등_122001,37.428682,127.098413,신호등
신호등_123001,37.473716,127.13872,신호등
신호등_123002,37.473051,127.141263,신호등
신호등_123003,37.470733,127.141217,신호등
신호등_123004,37.467399,127.140081,신호등
