시설물명,위도,경도,카테고리
옐로카펫_태평초등학교,37.444953,127.131694,옐로카펫
옐로카펫_늘푸른초등학교,37.358334,127.105671,옐로카펫
옐로카펫_오리초등학교,37.344351,127.115379,옐로카펫
옐로카펫_상원초등학교,37.453884,127.162776,옐로카펫
옐로카펫_금상초등학교,37.443599,127.165995,옐로카펫
옐로카펫_미금초등학교,37.347422,127.115303,옐로카펫
옐로카펫_성남북초등학교,37.4515,127.151474,옐로카펫
옐로카펫_성남혜은학교,37.450396,127.153922,옐로카펫
옐로카펫_성남초등학교 ,37.446085,127.144145,옐로카펫
옐로카펫_신백현초등학교,37.387579,127.111751,옐로카펫
옐로카펫_중탑초등학교,37.413924,127.139686,옐로카펫
옐로카펫_하원초등학교,37.446255,127.170236,옐로카펫
옐로카펫_도촌초등학교,37.41473,127.158024,옐로카펫
옐로카펫_희망대초등학교,37.447498,127.149115,옐로카펫
옐로카펫_화랑초등학교,37.390224,127.115888,옐로카펫
옐로카펫_정자초등학교,37.374517,127.104912,옐로카펫
옐로카펫_운중초등학교,37.392419,127.06894,옐로카펫
옐로카펫_중앙초등학교,37.436255,127.143529,옐로카펫
옐로카펫_수진초등학교,37.444944,127.133465,옐로카펫
옐로카펫_금빛초등학교,37.447331,127.140567,옐로카펫
옐로카펫_복정초등학교,37.46247,127.130386,옐로카펫
옐로카펫_은행초등학교,37.461002,127.170901,옐로카펫
옐로카펫_검단초등학교,37.429483,127.144034,옐로카펫
옐로카펫_대일초등학교,37.438468,127.164185,옐로카펫
옐로카펫_성남동초등학교,37.449215,127.162178,옐로카펫
옐로카펫_낙생초등학교,37.394357,127.098914,옐로카펫
옐로카펫_산운초등학교,37.389753,127.079005,옐로카펫
옐로카펫_야탑초등학교,37.416616,127.125627,옐로카펫
옐로카펫_이매초등학교,37.39721,127.126493,옐로카펫
옐로카펫_서당초등학교,37.374602,127.134587,옐로카펫
옐로카펫_돌마초등학교,37.409099,127.130378,옐로카펫
옐로카펫_불곡초등학교,37.340984,127.11973,옐로카펫
옐로카펫_서현초등학교,37.382576,127.12855,옐로카펫
옐로카펫_안말초등학교,37.393154,127.125984,옐로카펫
옐로카펫_상원초등학교,37.453884,127.162776,옐로카펫
옐로카펫_중원초등학교,37.437855,127.167857,옐로카펫
옐로카펫_상대원초등학교,37.442382,127.181591,옐로카펫
옐로카펫_여수초등학교,37.419449,127.133081,옐로카펫
옐로카펫_왕남초등학교,37.428469,127.098687,옐로카펫
옐로카펫_태평초등학교,37.444953,127.131694,옐로카펫
옐로카펫_위례푸른초등학교,37.470731,127.150981,옐로카펫
옐로카펫_단대초등학교,37.453611,127.157748,옐로카펫
옐로카펫_수정초등학교,37.436212,127.132786,옐로카펫
옐로카펫_수정북초등학교,37.4511823,127.1517445,옐로카펫
옐로카펫_신흥초등학교,37.450552,127.143485,옐로카펫
옐로카펫_금상초등학교,37.443599,127.165995,옐로카펫
옐로카펫_단남초등학교,37.442905,127.161374,옐로카펫
옐로카펫_판교초등학교,37.387282,127.091443,옐로카펫
옐로카펫_내정초등학교,37.372402,127.122264,옐로카펫
옐로카펫_당촌초등학교,37.373689,127.131262,옐로카펫
옐로카펫_백현초등학교,37.372193,127.111168,옐로카펫
옐로카펫_분당초등학교 ,37.378988,127.129653,옐로카펫
옐로카펫_신기초등학교,37.366582,127.11106,옐로카펫
옐로카펫_양영초등학교,37.37466,127.140091,옐로카펫
옐로카펫_오리초등학교,37.344351,127.115379,옐로카펫
옐로카펫_청솔초등학교,37.354657,127.1141,옐로카펫
옐로카펫_탄천초등학교,37.361599,127.115645,옐로카펫
옐로카펫_하탑초등학교,37.407326,127.126613,옐로카펫
옐로카펫_수내초등학교,37.367765,127.124663,옐로카펫
옐로카펫_양지초등학교,37.459218,127.160884,옐로카펫
옐로카펫_성남서초등학교,37.448545,127.129403,옐로카펫
옐로카펫_수진초등학교,37.444944,127.133465,옐로카펫
옐로카펫_신백현초등학교,37.387579,127.111751,옐로카펫
옐로카펫_구미초등학교,37.337756,127.118398,옐로카펫
옐로카펫_미금초등학교,37.347422,127.115303,옐로카펫
옐로카펫_불정초등학교,37.361254,127.119496,옐로카펫
옐로카펫_상탑초등학교,37.406207,127.145695,옐로카펫
옐로카펫_매송초등학교,37.402183,127.122403,옐로카펫
옐로카펫_장안초등학교,37.372662,127.144459,옐로카펫
옐로카펫_초림초등학교,37.376826,127.117592,옐로카펫
옐로카펫_한솔초등하교,37.366777,127.118015,옐로카펫
옐로카펫_늘푸른초등학교,37.358334,127.105671,옐로카펫
옐로카펫_보평초등학교,37.396039,127.117758,옐로카펫
옐로카펫_송현초등학교,37.405458,127.116346,옐로카펫
옐로카펫_성수초등학교,37.433766,127.127238,옐로카펫
옐로카펫_위례고운초등학교,37.471437,127.145794,옐로카펫
옐로카펫_위례한빛초등학교,37.465766,127.147017,옐로카펫
옐로카펫_위례중앙초등학교,37.471899,127.135874,옐로카펫
옐로카펫_대원초등학교,37.436671,127.155099,옐로카펫
옐로카펫_대하초등학교,37.431908,127.151304,옐로카펫
옐로카펫_성남초등학교 ,37.446085,127.144145,옐로카펫
옐로카펫_중부초등학교,37.451546,127.164951,옐로카펫
옐로카펫_수내초등학교,37.367765,127.124663,옐로카펫
옐로카펫_상탑사거리,37.406207,127.145695,옐로카펫
옐로카펫_황송삼거리(사거리),37.4462019,127.1711228,옐로카펫
