시설물명,CV_도로폭확률,CV_분리장치확률,CV_도로상대폭,CV_보행공간비율,CV_주정차밀도
갈보리어린이집,0.7863,0.8904,0.3606,0.0,0.0
건영장안유치원,0.1842,0.123,0.3842,0.0,2.0
검단초등학교,0.0996,0.0366,0.4103,0.0,3.0
구미동어린이집,0.9346,0.9226,0.3887,0.2335,0.0
구미초등학교,0.9276,0.9202,0.3809,0.2405,0.0
금광2동제2어린이집,0.0126,0.0278,0.2995,0.0,0.0
금빛초등학교,0.2657,0.0827,0.3817,0.0571,0.0
금상초등학교,0.7748,0.7656,0.3978,0.2113,0.0
꾸러기유치원,0.2951,0.1479,0.3504,0.0,4.0
낙생초등학교,0.9004,0.9569,0.364,0.2949,0.0
내정초등학교,0.9762,0.9357,0.4697,0.0,0.0
늘사랑어린이집,0.3308,0.2047,0.0,0.0,2.0
늘푸른초등학교,0.9115,0.8554,0.4587,0.2234,0.0
다솜어린이집,0.8122,0.211,0.396,0.0,0.0
다솜유치원,0.3051,0.1098,0.4215,0.0,2.0
단남초등학교,0.9645,0.9015,0.3765,0.2258,0.0
단대어린이집,0.7407,0.6039,0.4095,0.2896,0.0
당촌초등학교,0.3849,0.3192,0.405,0.0,0.0
대일초등학교,0.1308,0.1162,0.397,0.0,1.0
대하초등학교,0.9788,0.8696,0.3942,0.2788,2.0
도촌유치원,0.9971,0.9415,0.3963,0.2528,1.0
리플플러스어린이집,0.0636,0.0135,0.3733,0.0,1.0
미금초등학교,0.9749,0.9217,0.4719,0.2574,0.0
미래유치원,0.3816,0.2709,0.3906,0.2117,0.0
배성유치원,0.3733,0.6128,0.338,0.2297,0.0
백현초등학교,0.9891,0.9379,0.4827,0.3218,0.0
보듬이나눔이어린이집,0.9252,0.928,0.4189,0.2832,0.0
보평초등학교,0.9008,0.9569,0.4719,0.3256,0.0
복정2어린이집,0.4097,0.2551,0.4459,0.0,1.0
복정어린이집,0.0195,0.1879,0.39,0.0,0.0
분당어린이집,0.9266,0.8996,0.3844,0.2917,0.0
분당중앙유치원,0.9958,0.9512,0.3628,0.1981,0.0
불정초등학교,0.983,0.9007,0.4129,0.2545,0.0
뽀뽀뽀유치원,0.5651,0.2998,0.4256,0.226,0.0
산성3어린이집,0.8539,0.4282,0.4672,0.0,0.0
산성어린이집,0.1439,0.2424,0.4521,0.0,3.0
삼평어린이집,0.5923,0.694,0.3633,0.1807,0.0
상대원초등학교,0.2058,0.3301,0.4213,0.0,1.0
상원초등학교,0.2391,0.4115,0.4521,0.0,0.0
상탑초등학교,0.9945,0.9093,0.4535,0.0,0.0
샛별유치원,0.9838,0.7902,0.4987,0.1749,0.0
서광어린이집,0.9047,0.883,0.468,0.3241,0.0
서당초등학교,0.6986,0.5914,0.0,0.2254,0.0
서현어린이집,0.9879,0.911,0.441,0.2317,0.0
서현초등학교,0.5482,0.3009,0.405,0.0,3.0
성남동초등학교,0.0836,0.0623,0.0,0.0,2.0
성남북초등학교,0.531,0.8623,0.4155,0.0,0.0
성남생명숲어린이집,0.5531,0.1575,0.4755,0.0,3.0
성남서초등학교,0.657,0.6198,0.431,0.2466,0.0
성남송현초등학교,0.7186,0.9373,0.4808,0.166,0.0
성남수정초등학교,0.4272,0.8267,0.2756,0.2183,1.0
성남어린이집,0.4332,0.3303,0.4221,0.0,0.0
성남여수초등학교,0.2438,0.2016,0.4348,0.0,3.0
성남은행초등학교,0.3047,0.3788,0.4713,0.184,2.0
성남장안초등학교,0.0679,0.4178,0.2841,0.0,0.0
성남정자초등학교,0.9413,0.7912,0.4114,0.2376,0.0
성남중앙초등학교,0.1752,0.0508,0.2858,0.0,2.0
성남초등학교,0.1223,0.1553,0.4045,0.0,3.0
성남혜은학교,0.1199,0.0863,0.3041,0.0,1.0
성마르코유치원,0.2711,0.3244,0.3254,0.1989,1.0
성수초등학교,0.1607,0.1304,0.3054,0.0,2.0
성은특수학교,0.8902,0.8363,0.3814,0.2483,0.0
성체유치원,0.3552,0.2945,0.0,0.0,0.0
성현어린이집,0.0517,0.0332,0.3361,0.0,2.0
수내동어린이집,0.439,0.5107,0.4134,0.3157,0.0
수내초등학교,0.9976,0.9294,0.5348,0.28,0.0
수진초등학교,0.086,0.2329,0.3973,0.0,2.0
숲리라유치원,0.8334,0.6105,0.3925,0.0,0.0
신백현초등학교,0.7693,0.8817,0.1981,0.2367,0.0
신흥성모유치원,0.0207,0.0465,0.2624,0.0,1.0
신흥제2어린이집,0.1438,0.1476,0.3128,0.0,0.0
신흥제3어린이집,0.485,0.135,0.0,0.0,1.0
아름다운유치원,0.8262,0.7507,0.4431,0.0,2.0
안말초등학교,0.3817,0.1617,0.0,0.0,1.0
야탑초등학교,0.9821,0.9322,0.4326,0.3003,0.0
양영초등학교,0.0112,0.026,0.0,0.0,2.0
예림어린이집,0.9289,0.6442,0.4766,0.0,0.0
예원유치원,0.0502,0.1237,0.0,0.0,1.0
오리초등학교,0.9731,0.7457,0.4844,0.0,0.0
운중초등학교,0.3105,0.5265,0.3889,0.2347,0.0
운중하나어린이집,0.8619,0.8739,0.3536,0.2161,0.0
위례새초롱유치원,0.8334,0.6105,0.3925,0.0,0.0
위례푸른초등학교,0.9164,0.8557,0.3837,0.2012,0.0
위례하늘유치원,0.6554,0.8163,0.3814,0.2739,0.0
은서유치원,0.042,0.0447,0.3491,0.0,0.0
은솔유치원,0.9053,0.5066,0.4475,0.2102,1.0
은혜유치원,0.6146,0.5072,0.4175,0.0,3.0
이솔유치원,0.6694,0.628,0.3984,0.0,0.0
중부초등학교,0.2865,0.3763,0.4506,0.0,0.0
중앙동어린이집,0.7041,0.3775,0.4642,0.0,0.0
중원초등학교,0.5188,0.7412,0.3874,0.0811,0.0
즐거운유치원,0.945,0.9025,0.4154,0.2146,0.0
창조유치원,0.2267,0.2822,0.3942,0.0,1.0
청솔초등학교,0.9794,0.9293,0.4455,0.0522,0.0
초림초등학교,0.3767,0.4714,0.0,0.0,1.0
탄천초등학교,0.3184,0.4294,0.3853,0.0,0.0
태평초등학교,0.024,0.0607,0.4044,0.0,0.0
판교대장초등학교,0.9876,0.9663,0.4846,0.324,0.0
판교샘유치원,0.0777,0.0664,0.2129,0.0,1.0
판교제2어린이집,0.9928,0.8961,0.439,0.2548,0.0
판교초등학교,0.4119,0.5441,0.4411,0.0,0.0
푸르니이매어린이집,0.2971,0.2822,0.3666,0.1823,0.0
하대원어린이집,0.0499,0.1541,0.3537,0.0,3.0
하원초등학교,0.9501,0.9347,0.4502,0.258,0.0
한솔초등학교,0.0735,0.1446,0.3674,0.0,2.0
한양어린이집,0.0396,0.019,0.4037,0.0,0.0
해나유치원,0.1523,0.1774,0.4731,0.0,1.0
혜성유치원,0.3055,0.2331,0.0,0.0,2.0
휴맥스어린이집,0.8611,0.7676,0.386,0.2227,0.0
희영유치원,0.9506,0.8562,0.3619,0.229,0.0
고등나래 유치원,0.1438,0.3171,0.472,0.2229,0.0
꿈터 유치원,0.2406,0.3447,0.1874,0.0,2.0
선경유치원,0.0955,0.0649,0.0,0.0,5.0
성모 유치원,0.8884,0.846,0.4068,0.2884,0.0
세화유치원,0.7556,0.4295,0.4339,0.0,1.5
아이세상 어린이집,0.0416,0.0448,0.4466,0.0,2.0
안촌 유치원,0.8145,0.4406,0.3517,0.0,3.0
