시설물명,위도,경도,카테고리
횡단보도_수정-1,37.43669,127.127883,횡단보도
횡단보도_수정-2,37.439368,127.127408,횡단보도
횡단보도_수정-3,37.442287,127.126662,횡단보도
횡단보도_수정-4,37.443795,127.126664,횡단보도
횡단보도_수정-5,37.44787,127.126743,횡단보도
횡단보도_수정-6,37.450519,127.126646,횡단보도
횡단보도_수정-7,37.462699,127.126446,횡단보도
횡단보도_수정-8,37.456115,127.126816,횡단보도
횡단보도_수정-9,37.459789,127.126443,횡단보도
횡단보도_수정-10,37.465464,127.126347,횡단보도
횡단보도_수정-11,37.435348,127.134084,횡단보도
횡단보도_수정-12,37.436645,127.133511,횡단보도
횡단보도_수정-13,37.437627,127.133505,횡단보도
횡단보도_수정-14,37.438715,127.132523,횡단보도
횡단보도_수정-15,37.443201,127.130923,횡단보도
횡단보도_수정-16,37.442588,127.13084,횡단보도
횡단보도_수정-17,37.443683,127.130315,횡단보도
횡단보도_수정-18,37.445038,127.130088,횡단보도
횡단보도_수정-19,37.446099,127.129347,횡단보도
횡단보도_수정-20,37.446954,127.129458,횡단보도
횡단보도_수정-21,37.427587,127.116256,횡단보도
횡단보도_수정-22,37.42013,127.117243,횡단보도
횡단보도_수정-23,37.416453,127.109107,횡단보도
횡단보도_수정-24,37.415541,127.115009,횡단보도
횡단보도_수정-25,37.414337,127.113661,횡단보도
횡단보도_수정-26,37.411134,127.114024,횡단보도
횡단보도_수정-27,37.440254,127.120564,횡단보도
횡단보도_수정-28,37.440337,127.121596,횡단보도
횡단보도_수정-29,37.439377,127.125752,횡단보도
횡단보도_수정-30,37.441035,127.131487,횡단보도
횡단보도_수정-31,37.440438,127.130223,횡단보도
횡단보도_수정-32,37.442356,127.135852,횡단보도
횡단보도_수정-33,37.441634,127.133244,횡단보도
횡단보도_수정-34,37.442862,127.139103,횡단보도
횡단보도_수정-35,37.444286,127.141411,횡단보도
횡단보도_수정-36,37.444286,127.141411,횡단보도
횡단보도_수정-37,37.444756,127.144207,횡단보도
